Title,Political Lean,Score,Text
“Tengo idiotas en mi equipo”: Romney critica a sus compañeros republicanos por asistir a un evento nacionalista blanco y apoyar a Putin,Liberal,1112,
Hilo de discusión semanal [63],Liberal,5,Siéntete libre de hablar de lo que quieras. Puede estar relacionado con el Partido Demócrata Social o no tener nada que ver. Lo que quieras.
Así es como se trata a los políticos corruptos cuando salen a la calle. Mujeres mastican a Rick Scott en Starbucks.,Liberal,63,
El plan republicano no tan secreto para aumentar los impuestos,Liberal,46,
"¿Está en auge el fascismo a nivel mundial? Si es así, ¿qué países tienen más probabilidades de convertirse en dictaduras fascistas y cuáles no?",Liberal,376,Hago esta publicación principalmente porque estoy preocupado y no quiero que me encierren en un campo durante mi vida; prefiero encontrar un país seguro donde vivir mientras espero acciones revolucionarias socialistas.
Victor Grossman describe la vida en Alemania del Este,Liberal,30,
La vida de Stalin en imágenes,Liberal,0,
¿Qué hace que una nación sea socialista?,Liberal,2,
"En la carrera para suceder a Zeldin en NY-01, mientras los demócratas se preparan para las primarias, el liderazgo republicano del condado se une detrás de un candidato",Liberal,6,
Grupo de reforma electoral nacional respalda a Yadira Caraveo en las primarias demócratas del distrito 8 de Colorado,Liberal,7,
"Nuevo México aprobó un proyecto de ley para aumentar los salarios de los maestros estableciendo 3 niveles salariales en todo el estado. Nivel 1: los maestros de primer año ganarán un mínimo de $50,000. Nivel 2: los maestros con 3 a 5 años de experiencia ganarán un mínimo de $60,000. Nivel 3: los maestros con más experiencia ganarán un mínimo de $70,000.",Liberal,143,
Las feministas rusas salen a las calles para protestar contra la guerra de Putin,Liberal,102,
Las nuevas chicas de oro: los baby boomers se mudan juntos para ahorrar dinero,Liberal,36,
Yanis Varoufakis: Vivimos en una distopía tecnofeudalista y poscapitalista,Liberal,1353,
"Actualización sobre la invasión de Rusia, el FSB y la KGB: la ciudad de Volnovakha al borde de una catástrofe humanitaria",Liberal,6,
¿Qué está alimentando la “nueva Guerra Fría” en Rusia y en el país?,Liberal,67,
VIDEO: Nazis aterrorizan librería durante lectura del Manifiesto Comunista en Rhode Island,Liberal,197,
“Completamente predecible”: el tiroteo de Portland y los temores de una escalada del extremismo en Estados Unidos,Liberal,20,
Sobre la invasión rusa a Ucrania - Socialistas Democráticos de América (DSA),Liberal,40,
Serie de películas del Mes de la Historia Afroamericana - RLS-NYC,Liberal,2,
Serie de películas del Mes de la Historia Afroamericana - RLS-NYC,Liberal,1,
El comediante que lucha por su país y el chiste que corre de él.,Liberal,3361,
Clyburn critica a Trump y otros elogian a Putin: 'Enemigos internos',Liberal,121,
"Bill Barr quema sus naves en un mordaz relato, critica el “comportamiento personal errático” de Trump y lo culpa por los atentados del 6 de enero",Liberal,713,
¿Alguien más está sintiendo vibraciones extrañas por la situación entre Rusia y Ucrania?,Liberal,0,"No digo que Rusia tenga derecho a invadir. Cualquiera que intente insinuar que eso es lo que estoy diciendo está mintiendo. 

Es extraño que la izquierda esté de acuerdo con los liberales estadounidenses mediocres. No digo que haya una conspiración nacional para desinformar a la gente (pero no deberíamos descartarlo), simplemente creo que un análisis material honesto de la cobertura occidental de este momento histórico"
El maoísmo en política exterior frente al pragmatismo geopolítico pseudomarxista,Liberal,2,
"Ahora que las elecciones terminaron, ¿qué quiero que les pase a los partidarios de Trump?",Liberal,0,
