Text,Code,libertad_personal_score,libertad_economica_score,text_processed
1.4. Acción estratégica 4: Desarrollar un modelo de inclusión educativa en todas las IIEE de la Educación Básica Regular.,503,1,-1,acción estratégico desarrollar modelo inclusión educativo todo iiee educación básico regular
"Elaborar y poner en práctica un modelo de educación inclusiva que permita atender a los estudiantes con necesidades educativas especiales (NEE), estén o no asociadas a discapacidad, con el fin de asegurar la calidad educativa para todos.",503,1,-1,elaborar poner práctico modelo educación inclusivo permitir atender estudiante necesidad educativo especial nee no asociado discapacidad fin asegurar calidad educativo
El modelo comprende lo siguiente: Lineamientos para organizar la inclusión en las Instituciones Educativas.,503,1,-1,modelo comprender siguiente lineamiento organizar inclusión institución educativo
Orientaciones y capacitación para la adecuación curricular que cada niño con NEE necesita.,503,1,-1,orientación capacitación adecuación curricular cada niño nee necesitar
Equipos psicopedagógicos que atienden desde las cabeceras de red a las IIEE de su zona correspondiente.,503,1,-1,equipo psicopedagógico atender cabecera red iiee zona correspondiente
Capacitación de docentes en servicio y en la formación inicial.,503,1,-1,capacitación docente servicio formación inicial
Adecuar la infraestructura y el equipamiento en las IIEE que lo necesiten de acuerdo a las discapacidades que atiendan.,503,1,-1,adecuar infraestructura equipamiento iiee necesitar acuerdo discapacidad atender
1.4.1 Metas,H,0,0,meta
"Al 2021, el 80% de las IIEE desarrollan la inclusión y atienden a niños con necesidades educativas especiales asociadas o no a discapacidad.",503,1,-1,iiee desarrollar inclusión atender niño necesidad educativo especial asociado no discapacidad
1.4.2 Ruta estratégica,H,0,0,ruta estratégico
2016: Elaboración del modelo.,503,1,-1,elaboración modelo
2016: Evaluación de las IIEE que vienen desarrollando educación inclusiva.,503,1,-1,evaluación iiee venir desarrollar educación inclusivo
2017-2021: Inicio del desarrollo del modelo en las IIEE que se encuentran preparadas y preparación de nuevas IIEE hasta llegar a la meta.,503,1,-1,inicio desarrollo modelo iiee encontrar preparado preparación nuevo iiee llegar meta
Institución responsable: Viceministerio de Gestión Pedagógica a través de la Dirección de Educación Básica Especial (a cargo de los lineamientos y orientaciones técnicas) y la Dirección General de Educación Básica Regular (con responsabilidad ejecutora).,503,1,-1,institución responsable viceministerio gestión pedagógicar través dirección educación básico especial cargo lineamiento orientación técnico dirección general educación básico regular responsabilidad ejecutoro
1.5 Acción estratégica 5: Relanzamiento de la educación rural y la educación intercultural bilingüe.,506,0,0,acción estratégico relanzamiento educación rural educación intercultural bilingüe
"Si bien es cierto que la educación rural no ha sido prioridad en los últimos años, también es cierto que se han dado avances significativos tanto en la primaria como en la secundaria rural.",506,0,0,si bien cierto educación rural no ser prioridad último año cierto dado avance significativo primario secundaria rural
"La multiplicidad de experiencias, algunas promovidas por los agentes educativos y otras por la comunidad, nos obligan a darle viabilidad y sostenibilidad.",506,0,0,multiplicidad experiencia promovido agente educativo comunidad obligar dar él viabilidad sostenibilidad
1.5.1 Metas,H,0,0,meta
"Al 2021, el 75% de las niñas, niños y adolescentes que estudian inicial primaria o secundaria rural tienen acceso a una educación de calidad;",506,0,0,niña niño adolescente estudiar inicial primario secundaria rural acceso educación calidad
"esto se comprueba en una mejora del 20% en los resultados de las pruebas de Comunicación y Matemáticas de la Evaluación Censal de Estudiantes, a partir de la línea de base que se establezca al inicio del relanzamiento.",506,0,0,compruebo mejora resultado prueba comunicación matemático evaluación censal estudiante partir línea base establezca inicio relanzamiento
1.5.2 Ruta estratégica,H,0,0,ruta estratégico
2016: Levantar información que permita hacer un análisis FODA de las diferentes alternativas de educación en la zona rural.,506,0,0,levantar información permitir hacer análisis foda diferente alternativo educación zona rural
2017: Elaborar las estrategias de desarrollo o fortalecimiento para las diferentes variantes de educación rural.,506,0,0,elaborar estrategia desarrollo fortalecimiento diferente variante educación rural
2018-2020: Aplicación o ejecución de las estrategias desarrolladas.,506,0,0,aplicación ejecución estrategia desarrollado
2021: Evaluación del trabajo realizado.,506,0,0,evaluación trabajo realizado
"Instituciones responsables: Viceministerio de Gestión Pedagógica a través de la Dirección General de Educación Básica Alternativa, Intercultural Bilingüe y de Servicios Educativos en el ámbito rural.",506,0,0,institución responsable viceministerio gestión pedagógico través dirección general educación básico alternativo intercultural bilingüe servicio educativo ámbito rural
1.6. Acción estratégica 6: Reducir la deserción escolar,506,0,0,acción estratégico reducir deserción escolar
"Para reducir la deserción escolar, además de continuar con los programas sociales que comprometan a los padres a enviar a los hijos a las escuelas, necesitamos mejorar la calidad educativa.",506,0,0,reducir deserción escolar además continuar programa social comprometar padre enviar hijo escuela necesitar mejorar calidad educativo
Esto se logrará a través de: El desarrollo y consolidación de la inclusión educativa.,506,0,0,lograr través desarrollo consolidación inclusión educativo
"El relanzamiento de la educación rural, especialmente en secundaria con experiencias exitosas como la secundaria en alternancia, entre otras.",506,0,0,relanzamiento educación rural especialmente secundario experiencia exitoso secundario alternancia
"Nuevo Diseño Curricular, vinculado a la educación superior y al mundo del trabajo.",506,0,0,nuevo diseño curricular vinculado educación superior mundo trabajar
En el Plan Nacional de Escuelas Digitales,506,0,0,plan nacional escuela digital
La capacitación docente inicial y en servicio.,506,0,0,capacitación docente inicial servicio
Modernización de la infraestructura educativa.,506,0,0,modernización infraestructuro educativo
"Mejora de la Educación Superior, incluidos los programas de becas.",506,0,0,mejor educación superior incluir programa beca
1.6.1. Metas,H,0,0,meta
"Del 2016 al 2021, reducir la tasa de deserción en secundaria a un 4%.",506,0,0,reducir tasa deserción secundario
