Text,Code,libertad_personal_score,libertad_economica_score,text_processed
"3. Apoyo a la concesión de obras públicas, con absoluta transparencia y publicidad",304,0,0,apoyo concesión obra público absoluto transparencia publicidad
y buscando las mejores condiciones posibles para el Estado y los trabajadores.,411,0,1,buscar mejor condición posible trabajador
4. Programa de mejoramiento de los caminos rurales para facilitar el transporte de la producción agropecuaria del país. Con este objetivo se destinará el 50% de los fondos del CONAVI.,411,0,1,programa mejoramiento camino rural facilitar transporte producción agropecuario país objetivo destinar fondo conavi
5. Evaluación de los sistemas portuarios y aeroportuarios para planificar con una visión de largo plazo la atención adecuada de la creciente demanda de servicios.,404,0,1,evaluación sistema portuario aeroportuario planificar visión largo plazo atención adecuado creciente demanda servicio
6. Capacitación permanente para los funcionarios del sector público que permita mantener cuadros técnicos para asumir los grandes y complejos retos futuros.,704,0,0,capacitación permanente funcionario sector público permitir mantener cuadro técnico asumir grande complejo reto futuro
7. Fortalecimiento de los vínculos con los centros de alto desarrollo que permita emplear tecnología de punta y mejores prácticas en la adquisición de equipo y construcción de obras.,411,0,1,fortalecimientir vínculo centro alto desarrollo permitir emplear tecnología puntar mejor práctica adquisición equipo construcción obra
XV Energía,H,0,0,xv energía
"En Costa Rica. la electricidad y los hidrocarburos representan cerca del 90% del consumo total de energía y por su importancia estratégica, la administración, el desarrollo, la operación y el mantenimiento de la mayor parte de la capacidad instalada en el país está en manos del Estado.",416.2,0,-1,costa rico electricidad hidrocarburo representar cerca consumo total energío importancia estratégico administración desarrollo operación mantenimiento mayor parte capacidad instalado país manos
Para proveer a la sociedad costarricense de la energía que necesita. se requiere de enormes recursos financieros.,416.2,0,-1,proveer sociedad costarricense energía necesito requerir enorme recurso financiero
"De ahí la enorme responsabilidad de los usuarios quienes están llamados a efectuar un uso racional que permita el ahorro, disminuya el impacto ambiental",416.2,0,-1,ahí enorme responsabilidad usuario llamado efectuar uso racional permitir ahorro disminuir impacto ambiental
