Text,Code,libertad_personal_score,libertad_economica_score,text_processed
"Crear y poner en marcha programas de capacitación y desarrollo de habilidades empresariales diseñados para atender las necesidades específicas de las mujeres trabajadoras, que promueva la capacidad productiva, empresarial y tecnológica",411,0,1,crear poner marcha programa capacitación desarrollo habilidades empresarial diseñado atender necesidad específico mujer trabajador promueva capacidad productivo empresarial tecnológico
"así como el desarrollo de destrezas laborales de alta demanda en el mercado para la población estudiantil de colegios técnicos y agropecuarios,",411,0,1,así desarrollo destreza laboral alto demanda mercado población estudiantil colegio técnico agropecuario
bajo enfoque e igualdad de género.,503,1,-1,bajo enfoque igualdad género
5. Las políticas sectoriales,H,0,0,política sectorial
a) El sector agrícola y el desarrollo rural,H,0,0,sector agrícola desarrollo rural
"Durante los próximos cuatro años, nuestros esfuerzos estarán orientados prioritariamente a incrementar la productividad y la competitividad del sector agropecuario, factor clave para el desarrollo y el bienestar de la población que habita en las zonas rurales del país.",703.1,0,0,próximo cuatro año esfuerzo orientado prioritariamente incrementar productividad competitividad sector agropecuario factor clave desarrollo bienestar población habitar zona rural país
"Prestaremos particular atención a las micro, pequeñas y medianas empresas,",703.1,0,0,prestaremos particular atención micro pequeño mediano empresa
así como a la creación empleos de calidad y el desarrollo de nuevas empresas.,703.1,0,0,así creación empleo calidad desarrollo nuevo empresa
"Es necesario además seguir impulsando las exportaciones agrícolas,",703.1,0,0,necesario además seguir impulsar exportación agrícola
facilitar la participación de más productores y productoras en los mercados de exportación,703.1,0,0,facilitar participación productor productor mercado exportación
y brindar un apoyo prioritario a las zonas rurales con menores índices de desarrollo humano.,703.1,0,0,brindar apoyo prioritario zona rural menor índice desarrollo humano
"Con estos fines, hemos definido las siguientes prioridades en nuestra agenda agropecuaria: Establecer una Estrategia Nacional Agropecuaria y de Desarrollo Rural para el período 2010- 2020, con base en una amplia participación de las y los productores del agro",703.1,0,0,fin definido siguiente prioridad agenda agropecuario establecer estrategia nacional agropecuario desarrollo rural período base amplio participación productor agro
"y un análisis riguroso de los retos, oportunidades y desafíos del sector en su conjunto y de cada sub sector y región específica,",703.1,0,0,análisis riguroso reto oportunidad desafío sector conjunto cada sub sector región específico
