Text,Code,libertad_personal_score,libertad_economica_score,text_processed
5. Construir nuevos museos,H,0,0,construir nuevo museo
"Contar de una manera novedosa, y única la historia de nuestra música, ritmos, artes plásticas, trajes autóctonos, y además estimular la creación y difusión de las culturas de nuestros pueblos originarios.",502,0,0,contar manera novedoso único historia músico ritmo art plástico traje autóctono además estimular creación difusión cultura pueblo originario
6. Identificar escuelas públicas e invertir para el desarrollo de las industrias culturales y la economía creativa,502,0,0,identificar escuela público invertir desarrollo industria cultural economía creativo
Cada distrito cruentará con la infraestructura mínima y las herramientas escolares para aportar a la implementación de las políticas y estrategias.,502,0,0,cada distrito cruentacer infraestructura mínimo herramienta escolar aportar implementación política estrategia
7. Ampliar centros de estudios para capacitar y educar toda la cadena de valor,H,0,0,ampliar centro estudio capacitar educar todo cadena valor
"Artistas, músicos, profesores, productores, gestores culturales, cineastas, mercado editorial.",502,0,0,artista músico profesor productor gestor cultural cineasta mercado editorial
EJE IV. BIENESTAR Y CALIDAD DE VIDA,H,0,0,eje iv bienestar calidad vida
META NACIONAL: CALIDAD DE VIDA DIGNA,H,0,0,meta nacional calidad vida digno
"Todos los panameños deben poder disfrutar de una buena calidad de vida, que conlleva contar con los recursos para pasar tiempo en familia, gozar de un transporte público eficiente y seguro, acceso a agua potable continua, ciudades que vibran con la cultura y el deporte, sistema de salud digno del Panamá que vamos a construir; viviendas dignas para criar a los hijos y compartir en familia en entornos sanos.",504,-1,-1,panameño deber poder disfrutar buen calidad vido conllevar contar recurso pasar tiempo familia gozar transporte público eficiente seguro acceso agua potable continuo ciudad vibrar cultura deporte sistema salud digno panamá ir construir vivienda digno criar hijo compartir familia entorno sano
Panamá cuenta con los recursos económicos para lograr bienestar y calidad de vida.,504,-1,-1,panamá contar recurso económico lograr bienestar calidad vida
"Lo que ha hecho falta es voluntad, capacidad y dejar de estar pensando en costos políticos.",504,-1,-1,hecho faltar voluntad capacidad dejar pensar costo político
"Nosotros vamos a despertar Panamá otra vez, poniendo a los panameños en el centro de las decisiones y al Estado al servicio de la gente, haciendo el Mejor Gobierno, moderno, cercano e inteligente.",303,0,0,ir despertar panamá vez poner panameño centro decisión servicio gente hacer mejor gobierno moderno cercano inteligente
"Para construir un Panamá de progreso para todos, más justo y solidario, seguro y unido, necesitamos familias fuertes y unidas, una sociedad civil pujante, una economía dinámica, un gobierno y un Estado al servicio de las panameñas y panameños liderado por un Presidente capaz, vigoroso y que cumple sus compromisos, para crear oportunidades para todas y todos.",504,-1,-1,construir panamá progreso justo solidario seguro unido necesitar familia fuerte unidas sociedad civil pujante economía dinámico gobierno servicio panameño panameño liderado presidente capaz vigoroso cumplir compromiso crear oportunidad todo
"A fin de continuar luchando contra la pobreza, nuestro gobierno se compromete a implementar estrategias innovadoras para el desarrollo económico pero con justicia social, y para ello adicionalmente a los 5 compromisos planteados en la página 12, haremos lo siguiente:",503,1,-1,fin continuar luchar pobreza gobierno comprometer implementar estrategia innovadora desarrollo económico justicia social él adicionalmente compromiso planteado páginar hacer siguiente
1. Restructurar el rol del Ministerio de Desarrollo Social,H,0,0,restructurar rol ministerio desarrollo social
