Text,Code,libertad_personal_score,libertad_economica_score,text_processed
"Establecer debates públicos permanentes entre los partidos políticos, los gobernantes y la ciudadanía, con formatos flexibles, para contrastar las ideas y las decisiones sobre políticas públicas.",606.1,-1,0,establecer debate público permanente partido político gobernant ciudadanir formato flexible contrastar idea decisión política público
"Modificar el régimen actual de las candidaturas independientes, con la finalidad de establecer condiciones equitativas que permitan la presentación de este tipo de candidaturas por parte de los ciudadanos.",202.1,0,0,modificar régimen actual candidatura independiente finalidad establecer condición equitativo permitir presentación tipo candidatura parte ciudadano
"Institucionalizar los mecanismos de participación ciudadana en la discusión, diseño, ejecución y evaluación de los planes, presupuestos públicos y programas de gobierno.",606.1,-1,0,institucionalizar mecanismo participación ciudadano discusión diseño ejecución evaluación plan presupuesto público programa gobierno
"Promover reformas, en todos los niveles, para que los ciudadanos reciban la información oportuna sobre la gestión de gobierno, el ejercicio del presupuesto y la obra pública.",303,0,0,promover reforma nivel ciudadano recir información oportuno gestión gobierno ejercicio presupuesto obra público
Crear una Auditoría Ciudadana del Poder Legislativo como un órgano autónomo con capacidad para revisar y evaluar el trabajo de los legisladores.,303,0,0,crear auditoría ciudadano poder legislativo órgano autónomo capacidad revisar evaluar trabajo legislador
Promover una auténtica rendición de cuentas por parte de los servidores públicos.,303,0,0,promover auténtico rendición cuenta parte servidor público
4.1.2.Partidos Políticos y Reforma Electoral,H,0,0,partido político reforma electoral
"Promover una transformación profunda del régimen actual de partidos, colocándolos como verdaderos entes de interés público y abiertos a la sociedad",202.1,0,0,promover transformación profundo régimen actual partido colocándolo verdadero ente interés público abierto sociedad
Revisar la cantidad y calidad del gasto público en el sistema electoral mexicano bajo los principios de la austeridad y eficiencia.,303,0,0,revisar cantidad calidad gasto público sistema electoral mexicano bajo principio austeridad eficiencia
Establecer un mecanismo de representación plural en el Congreso de la Unión que sea fiel reflejo de las preferencias electorales de la ciudadanía,202.2,-1,0,establecer mecanismo representación plural congreso unión fiel reflejo preferencia electoral ciudadanía
"Garantizar la equidad en el acceso de los partidos políticos a los medios de comunicación, para que puedan competir en condiciones de igualdad.",503,1,-1,garantizar equidad acceso partido político medio comunicación poder competir condición igualdad
Promover que la plataforma programática y de acción de los partidos políticos estén sujetos a mecanismo democráticos abiertos a la sociedad.,303,0,0,promover plataforma programático acción partido político sujeto mecanismo democrático abierto sociedad
Impulsar que los procesos de selección interna de candidatos de los partidos políticos sean transparentes y abiertos a la sociedad.,303,0,0,impulsar proceso selección interno candidato partido político transparente abierto sociedad
Promover que el sistema de partidos refleje la pluralidad social.,202.3,1,0,promover sistema partido reflejir pluralidad social
Garantizar que los partidos políticos transparenten el ejercicio de los recursos públicos y rindan cuentas.,303,0,0,garantizar partido político transparentir ejercicio recurso público rendir cuenta
4.1.3.Fomentar la Cultura Política Democrática,H,0,0,fomentar cultura político democrático
"Promover el desarrollo de una cultura política ciudadana participativa, respetuosa de las diferencias, la diversidad y la pluralidad, que fortalezca la democracia en todos los órdenes de la vida nacional, elimine la intolerancia, el dogmatismo y el desinterés.",202.4,1,0,promover desarrollo cultura político ciudadano participativo respetuoso diferencia diversidad pluralidad fortalezca democracia órden vida nacional elimine intolerancia dogmatismo desinterés
"Recuperar el papel de la educación en la formación cívica de la sociedad, con un sentido nacional que fomente la tolerancia y el respeto por la diversidad cultural y las diferencias, tanto al interior de nuestro país como en el contexto de la globalización",506,0,0,recuperar papel educación formación cívico sociedad nacional fomente tolerancia respeto diversidad cultural diferencia interior país contexto globalización
Educar para la democracia a través de programas que formen en el pensamiento crítico y promuevan los valores democráticos y la formación de una cultura ciudadana.,202.1,0,0,educar democracia través programa formir pensamiento crítico promover valor democrático formación cultura ciudadano
"Replicar en todo el país esfuerzos, como el de la Escuela Mexicana de Participación Ciudadana, que ofrezcan cursos y diplomados sobre participación ciudadana para los diversos sectores de la población.",606.1,-1,0,replicar país esfuerzo escuela mexicano participación ciudadano ofrecer curso diplomado participación ciudadano diverso sector población
Eliminar las barreras y límites que las burocracias le han impuesto al poder ciudadano.,606.1,-1,0,eliminar barrera límite burocracia impuesto poder ciudadano
