Text,Code,libertad_personal_score,libertad_economica_score,text_processed
Aseguraremos el acceso a información y recursos sobre salud sexual y reproductiva.,504,-1,-1,asegurarer acceso información recurso salud sexual reproductivo
Fomentaremos los programas de atención y seguimiento a los jóvenes tutelados que abandonan la protección tras la mayoría de edad mediante un Plan de vida independiente.,504,-1,-1,fomentaremos programa atención seguimientir joven tutelado abandonar protección tras mayoría edad mediante plan vida independiente
"Desarrollaremos políticas de prevención de adicciones para la población juvenil, apostando por programas de reducción del daño, rehabilitación y reinserción.",504,-1,-1,desarrollarer política prevención adicción población juvenil apostar programa reducción daño rehabilitación reinserción
Dependencia y autonomía personal,H,0,0,dependencia autonomía personal
"En el cambio constitucional que propone Ciudadanos, la atención a las personas en situación de dependencia, dentro de los derechos sociales, pasará a estar recogida como derecho fundamental en nuestra Constitución.",504,-1,-1,cambio constitucional proponer ciudadano atención persona situación dependencia dentro derecho social pasar recogida derecho fundamental constitución
"Crearemos un Plan Nacional de Dependencia, siendo éste el pilar básico de la política nacional del partido en esta área, que desarrolle las medidas que sean necesarias para que las personas dependientes, así como los trabajadores del sector, puedan salir de la situación extrema y angustiosa en la que muchos se encuentran, recuperando la dignidad y devolviéndoles la sensación de que la Administración y la sociedad les tiene en cuenta.",504,-1,-1,crearer plan nacional dependencia ser este pilar básico político nacional partido área desarrollar medida necesario persona dependiente así trabajador sector poder salir situación extremo angustioso encontrar recuperar dignidad devolviéndol sensación administración sociedad contar
"Estableceremos una reducción drástica de los plazos de acceso, simplificando y agilizando el proceso de obfención las prestaciones por dependencia.",504,-1,-1,establecerer reducción drástico plazo acceso simplificar agilizar proceso obfención prestación dependencia
"Estableceremos la plena integración de la Dependencia dentro del sistema de Servicios Sociales,",504,-1,-1,establecerer pleno integración dependencia dentro sistema servicio social
y regeneraremos el Plan de Coordinación socio-sanitaria.,504,-1,-1,regenerarer plan coordinación sociosanitario
"Suprimiremos duplicidades administrativas, centralizando el sistema, unificando servicios y estableciendo una misma calidad para todo el territorio nacional.",303,0,0,suprimirer duplicidad administrativo centralizar sistema unificar servicio establecer mismo calidad territorio nacional
Unificaremos los criterios de evaluación y baremación a nivel nacional.,504,-1,-1,unificarer criterio evaluación baremación nivel nacional
Propondremos la creación de una ley marco de baremos y requisitos que no penalice a ninguna persona dependiente por el hecho de vivir en uno u otro municipio.,504,-1,-1,proponer creación ley marco baremos requisito no penalizar ninguno persona dependiente hecho vivir u municipio
"Acercaremos el sistema de prestaciones por dependencia a los ciudadanos a través de los municipios, otorgándoles el liderazgo de la gestión de los servicios.",504,-1,-1,acercaremo sistema prestación dependencia ciudadano través municipio otorgándol liderazgo gestión servicios
"Aumentaremos las plazas de residencias para mayores y/o dependientes,",504,-1,-1,aumentarer plaza residencia mayor dependiente
"así como viviendas tuteladas para mayores, ampliando las horas de asistencia en el hogar.",504,-1,-1,así viviendas tutelado mayor ampliar hora asistencia hogar
"Con el objetivo de favorecer la autonomía personal, potenciaremos los programas de envejecimiento activo, también para mayores con diversidad funcional.",504,-1,-1,objetivo favorecer autonomía personal potenciaremos programa envejecimiento activo mayor diversidad funcional
"Promoveremos el reconocimiento y ayuda para el ""cuidador familiar"", grandes olvidados en la dependencia, promocionando el Día Nacional del Cuidador familiar.",504,-1,-1,promoverar reconocimiento ayuda cuidador familiar grande olvidado dependencia promocionar día nacional cuidador familiar
"Estableceremos un plan de apoyo integral al cuidador que incluya planes de formación, asesoramiento para la adaptación, así como ayuda psicológica.",504,-1,-1,establecerer plan apoyo integral cuidador incluir plan formación asesoramiento adaptación así ayuda psicológico
Estudiaremos recuperar el reconocimiento efectivo del derecho de cotización y paro de los cuidadores.,504,-1,-1,estudiar recuperar reconocimiento efectivo derecho cotización paro cuidador
"Ampliaremos el derecho al servicio social de respiro o al descanso para personas que atienden familiares con dependencia y/o discapacidad, para mejorar su vida personal, familiar y laboral.",504,-1,-1,ampliar derecho servicio social respiro descanso persona atender familiar dependencia discapacidad mejorar vida personal familiar laboral
Mayores y 4a Edad,H,0,0,mayor edad
"Incrementaremos los servicios de proximidad, con el aumento de las horas/día en servicios de asistencia.",504,-1,-1,incrementarer servicio proximidad aumento horasdir servicio asistencia
"Plan Nacional para el Envejecimiento Activo y Saludable, como respuesta a la la nueva situación nacida del aumento de la longevidad.",504,-1,-1,plan nacional envejecimiento activo saludable respuesta nuevo situación nacido aumento longevidad
"Utilizando como marco de referencia los pilares salud, participación, seguridad y aprendizaje a lo largo de la vida, recomendados por la OMS.",504,-1,-1,utilizar marco referencia pilar salud participación seguridad aprendizaje largo vida recomendado oms
Fortalecimientos del sistema de programas y prestaciones para los mayores.,504,-1,-1,fortalecimiento sistema programa prestación mayor
Adecuación de las prestaciones del IMSERSO a las necesidades de la 4a edad Plan de Ayudas para familiares a cargo de mayores en la 4a edad.,504,-1,-1,adecuación prestación imserso necesidad edad plar ayuda familiar cargo mayor edad
Pensiones justas para nuestros mayores,H,0,0,pensión justo mayor
"En Ciudadanos consideramos que el sistema de pensiones es el pilar fundamental del estado del bienestar y creemos necesario reabrir el Pacto de Toledo y consensuar entre todos sus firmantes una reforma del sistema de pensiones para asegurarsu sostenibilidad, la suficiencia de las pensiones, la transparencia del sistema y su flexibilidad.",504,-1,-1,ciudadano considerar sistema pensión pilar fundamental bienestar creer necesario reabrir pacto toledo consensuar firmante reforma sistema pensión asegurarsu sostenibilidad suficienciar pensión transparencia sistema flexibilidad
Los ejes básicos de nuestra propuesta son: Modernizar el sistema y hacerlo sostenible.,504,-1,-1,eje básico propuesta modernizar sistema hacer él sostenible
"El objetivo de nuestra propuesta es adoptar medidas que faciliten la transición hacia un sistema de pensiones público moderno, similar al que existe en otros países europeos, y garantice que las próximas generaciones puedan contar con seguridad con este pilar básico de nuestro Estado del Bienestar.",504,-1,-1,objetivo propuesto adoptar medida facilitar transición hacia sistema pensión público moderno similar existir país europeo garantizar próximo generación poder contar seguridad pilar básico bienestar
> Garantizar pensiones adecuadas y periódicamente actualizadas.,504,-1,-1,garantizar pensión adecuado periódicamente actualizada
La adaptación del sistema de pensiones al nuevo escenario demográfico y socioeconómico debe jarantizar pensiones económicamente adecuadas y que en ningún caso puedan darse situaciones de pobreza entre nuestros pensionistas.,504,-1,-1,adaptación sistema pensión nuevo escenario demográfico socioeconómico deber jarantizar pensión económicamente adecuado ninguno caso poder dar él situación pobrezar pensionista
