Text,Code,libertad_personal_score,libertad_economica_score,text_processed
"La revolución feminista debe ser eje vertebrador de todas las políticas de transformación social desde la izquierda, por ello todo nuestro programa político debe ir transversalmente enmarcado con políticas generales que contemplen la perspectiva de género.",503,1,-1,revolución feminista deber ser eje vertebrador todo política transformación social izquierdo él programa político deber ir transversalmente enmarcado política general contemplar perspectiva género
"El feminismo debe formar parte constitutiva de la democracia, de las relaciones de producción y personales, del modelo económico y de todos los ámbitos que conforman el entramado social.",503,1,-1,feminismo deber formar parte constitutivo democraciar relación producción personal modelo económico ámbito conformar entramado social
"De ahí que el feminismo como filosofía y práctica política, es para IU el eje vertebrador y transversal de nuestra política de transformación.",503,1,-1,ahí feminismo filosofía práctico político iu eje vertebrador transversal político transformación
"Nuestras propuestas, prioridades y prácticas políticas deben estar enmarcadas desde la perspectiva de género.",503,1,-1,propuesta prioridad práctico política deber enmarcada perspectiva género
Es la estrategia política que demandamos para conseguir elementos definitivos y consolidables de igualdad para todas y todos.,503,1,-1,estrategia político demandamo conseguir elemento definitivo consolidabl igualdad todo
"No obstante, para que la igualdad real no se diluya entre las propuestas genéricas, deben encarase medidas que específicamente estén destinadas a eliminar las discriminaciones con acciones positivas que favorezcan y recompensen tan graves desequilibrios entre mujeres y hombres, a favor de éstos últimos.",503,1,-1,no obstante igualdad real no diluya propuesta genérico deber encarar medida específicamente destinado eliminar discriminación acción positivo favorecer recompensen tanto grave desequilibrio mujer hombr favor este último
"1. DERECHOS POLÍTICOS, DEMOCRACIA PARITARIA Y PRESUPUESTOS PARTICIPATIVOS",,0,0,derecho político democracia paritario presupuesto participativo
La política sigue siendo concebida de forma patriarcal: los derechos de ciudadanía de las mujeres son derechos políticos aún pendientes.,503,1,-1,política seguir ser concebido forma patriarcal derecho ciudadanir mujer derecho político aún pendiente
La democracia participativa significa para las mujeres la posibilidad de incidir directamente en las formas y en el qué de la política.,202,0,0,democracia participativo significar mujer posibilidad incidir directamente forma político
"Y una forma de implementar las políticas participativas, paritarias y transversales son los presupuestos participativos con perspectiva de género.",503,1,-1,formar implementar política participativo paritaria transversal presupuesto participativo perspectiva género
"Hacer viable esta política de democracia participativa, significa crear el entorno político para que las mujeres estén integradas de manera plena en un ámbito de decisión directa: Paridad, propuestas transversales, responsabilidad directa, respeto de los derechos humanos específicos de las mujeres... son factores facilitadores de una democracia participativa y feminista.",503,1,-1,hacer viable político democracia participativo significar crear entorno político mujer integrado manera pleno ámbito decisión directo paridad propuesto transversal responsabilidad directo respeto derechos humanos específico mujer factor facilitador democraciar participativo feminista
2. DERECHOS SOCIALES Y ECONÓMICOS DE LAS MUJERES,,0,0,derecho social económico mujeres
"Los mercados financieros, la economía especulativa y la democracia limitada van unidos intrínsecamente.",202,0,0,mercado financiero economía especulativo democracia limitado ir unido intrínsecamente
Los derechos sociales y económicos de todas las personas están siendo arrebatados en pro del mantenimiento del beneficio capitalista.,415,0,-1,derecho social económico todo persona ser arrebatar pro mantenimiento beneficio capitalista
La crisis capitalista ataca directamente las condiciones de vida aparentemente consolidadas y entre los sectores más vulnerables se encuentran las mujeres.,503,1,-1,crisis capitalista atacar directamente condición vido aparentemente consolidado sector vulnerable encontrar mujer
"Por ello, la independencia económica, la estabilidad laboral, la igualdad salarial, tienen hoy más sentido, si cabe, puesto que lo que se pretende es arrebatar no sólo los logros conseguidos, sino incluso los conceptos vindicados por las mujeres.",503,1,-1,él independencia económico estabilidad laboral igualdad salarial hoy si caber puesto pretender arrebatar no sólo logro conseguido sino incluso concepto vindicado mujer
Las medidas que se están adoptando están agravando las desigualdades entre los sectores más vulnerables de la población y entre mujeres y hombres.,503,1,-1,medida adoptar agravar desigualdad sector vulnerable población mujer hombr
"Debemos plantear propuestas totalmente confrontadas a las decisiones políticas neoliberales y patriarcales, construyendo sociedades que inviertan en bienestar social, a través de un presupuesto público progresivo que redistribuya los recursos y la riqueza.",504,-1,-1,deber plantear propuesta totalmente confrontada decisión política neoliberal patriarcal construir sociedad inviertar bienestar social través presupuesto público progresivo redistribuya recurso riquezar
"En este contexto de transformación y concienciación social debemos apostar por inversión pública en infraestructuras sociales,",409,0,-1,contexto transformación concienciación social deber apostar inversión público infraestructura social
"convertir el derecho constitucional al empleo en un pilar,",701,0,0,convertir derecho constitucional empleo pilar
"desarrollar medidas para acabar con la brecha salarial, con la precarización de los sectores más feminizados.",503,1,-1,desarrollar medida acabar brecha salarial precarización sector feminizado
Debemos generar unos sistemas públicos de calidad que además garanticen empleos dignos.,504,-1,-1,deber generar sistema público calidad además garantizar empleo digno
3. FRENAR LA VIOLENCIA DE GÉNERO Y LA EXCLUSIÓN SOCIAL,,0,0,frenar violencia género exclusión social
La violencia de género es una violación de los Derechos humanos y engloba a toda la Sociedad.,503,1,-1,violencia género violación derechos humanos englobar todo sociedad
Las violencias ejercidas contra las mujeres son muy variadas y distintas en sus formas.,503,1,-1,violencia ejercido mujer variado distinto forma
"La idea de igualdad entre los sexos, aunque presente en el imaginario común, aún no se ha construido de manera estructural.",503,1,-1,idea igualdad sexo aunque presente imaginario común aún no construir manera estructural
De ahí que la fuerza de la opresión sexista se sienta de manera interminable.,503,1,-1,ahí fuerzo opresión sexista sentar manera interminable
Para erradicar la violencia de género es imprescindible erradicar también el pilar fundamental que la sustenta: la desigualdad.,503,1,-1,erradicar violencia género imprescindible erradicar pilar fundamental sustento desigualdad
"Es necesario ampliar el estrecho desarrollo que hay en la Ley Integral, incorporando otras muchas forma de violencia contra las mujeres, violencia económica, violencia sexual, prostitución…",503,1,-1,necesario ampliar estrecho desarrollo ley integral incorporar mucho forma violencia mujer violencia económico violencia sexual prostitución
"Últimamente se han activado nuevos mecanismos de violencia de género, como el inexistente “síndrome de alineación parental”, que ya ha pasado ya a llamarse “síndrome de alienación patriarcal”, porque se ha demostrado fehacientemente que su utilización por parte de algunos sectores, responde más a motivaciones ideológicas, culturales, sexistas y andróginas que a científicas.",503,1,-1,últimamente activado nuevo mecanismo violencia género inexistente síndrome alineación parental pasado llamar él síndrome alienación patriarcal demostrado fehacientemente utilización parte sector responder motivación ideológico cultural sexista andrógina científico
4. DERECHOS SEXUALES Y REPRODUCTIVOS,,0,0,derecho sexual reproductivo
Los derechos sexuales y reproductivos garantizan la libre decisión sobre cómo vivir el propio cuerpo.,201,0,0,derecho sexual reproductivo garantizar libre decisión cómo vivir propio cuerpo
