Text,Code,libertad_personal_score,libertad_economica_score,text_processed
"Puesta en marcha de Oficinas en defensa de la vivienda desde la administración para prevenir, intermediar y proteger a las familias en riesgo de desahucio, sin que quepa realizar desahucio alguno sin que exista alternativa habitacional.",504,-1,-1,puesto marcha oficina defensa viviendo administración prevenir intermediar proteger familia riesgo desahucio quepo realizar desahucio alguno existir alternativa habitacional
"Fomentar el acceso a la vivienda desde el cooperativismo, y nuevas formas de tenencia, fortaleciendo el alquiler, de forma que el acceso a una vivienda no dependa del endeudamiento para el acceso de crédito hipotecario.",403,0,1,fomentar acceso viviendir cooperativismo nuevo forma tenencio fortalecer alquiler formar acceso viviendo no depender endeudamiento acceso crédito hipotecario
Fomentar la autoconstrucción de viviendas.,403,0,1,fomentar autoconstrucción vivienda
Eliminación de la cláusula “suelo” en las hipotecas en vigor y las futuras.,403,0,1,eliminación cláusula suelo hipoteca vigor futuro
Consideramos la vivienda como un derecho y exigimos desarrollar este derecho mediante una nueva Ley Orgánica.,504,-1,-1,considerar vivienda derecho exigir desarrollar derecho mediante nuevo ley orgánico
"Pago por las entidades financieras al Estado del dinero aportado para los rescates financieros, mediante la entrega de viviendas adquiridas por impagos de créditos hipotecarios.",403,0,1,pagar entidad financiero dinero aportado rescate financiero mediante entrega vivienda adquirido impago crédito hipotecario
Dación en pago retroactiva. Parar los desahucios,H,0,0,dación pago retroactivo parar desahucio
La recientemente aprobada Ley de Crédito Inmobiliario ha supuesto una nueva decepción a la hora de proteger a las personas que han accedido a la vivienda mediante hipoteca.,403,0,1,recientemente aprobado ley crédito inmobiliario supuesto nuevo decepción hora proteger persona accedido vivienda mediante hipoteca
"El acuerdo entre PP, Ciudadanos y PSOE para crear un nuevo marco legal ha quedado muy lejos de las peticiones que desde entidades sociales y grupos de afectados se han puesto sobre la mesa.",403,0,1,acuerdo pp ciudadanos psoe crear nuevo marco legal quedado lejos petición entidad social grupo afectado puesto més
"Principalmente, la nueva ley sigue sin garantizar alternativa habitacional en caso de desahucio, lo que viene a negar expresamente el derecho a la vivienda establecido en la Constitución, al poner por delante los intereses y beneficios de las entidades financieras o de la propiedad del inmueble frente a los de las personas.",403,0,1,principalmente nuevo ley seguir garantizar alternativa habitacional caso desahucio venir negar expresamente derecho vivienda establecido constitución poner delante interés beneficio entidad financiero propiedad inmueble frente persona
"Con la nueva ley se sigue condenando a los afectados a deudas perpetuas, deudas que condenan a la exclusión financiera y social, al igual que sigue manteniendo la posibilidad de desalojos forzosos sin alternativa habitacional.",403,0,1,nuevo ley seguir condenar afectado deuda perpetuo deuda condenar exclusión financiero social igual seguir mantener posibilidad desalojo forzoso alternativa habitacional
"Se continúa manteniendo a las personas que tienen una deuda perpetua en situación de exclusión, porque se sigue sin dar alternativas.",403,0,1,continuar mantener persona deuda perpetuo situación exclusión seguir dar alternativa
Se sigue manteniendo un código de buenas prácticas insuficiente y probancos y que el propio Tribunal de Justicia de la Unión Europea dice que no sirve para defenderse ante un tribunal porque es papel mojado.,403,0,1,seguir mantener código buena práctica insuficiente probanco propio tribunal justicia unión europea decir no servir defender él tribunal papel mojado
"Se sigue manteniendo la posibilidad de cláusulas abusivas, como la del IRPH, o se salva la banca de nuevo con una modificación del vencimiento anticipado para impedir el efecto que tendría la sentencia del Tribunal de Justicia de la Unión Europea, que va a poner encima de la mesa los abusos de las entidades financieras.",403,0,1,seguir mantener posibilidad cláusula abusivo irph salva banco nuevo modificación vencimiento anticipado impedir efecto sentencia tribunal justicia unión europea ir poner encima mesa abuso entidad financiero
"Para garantizar el derecho a la vivienda, proponemos: Dación en pago retroactiva y condonación de la deuda hipotecaria.",403,0,1,garantizar derecho vivienda proponer dación pago retroactivo condonación deudo hipotecario
Prohibición de que las administraciones públicas desahucien de sus parques de vivienda.,504,-1,-1,prohibición administración público desahucien parques vivienda
"Ninguna familia que no pueda pagar a consecuencia del sobreendeudamiento, podrá ser expulsada de las viviendas públicas.",504,-1,-1,ninguno familia no poder pagar consecuencia sobreendeudamiento poder ser expulsar vivienda público
Eliminación automática por parte de las entidades bancarias y sin previa petición del titular de las cláusulas declaradas abusivas por las Sentencias del Tribunal Superior de Justicia de la Unión Europea.,403,0,1,eliminación automático parte entidad bancario previo petición titular cláusula declarado abusivo sentencia tribunal superior justicia unión europea
"No se podrá ejecutar la primera y única vivienda tanto de los titulares como de los avaladores para exigir su responsabilidad, en orden a considerar la vivienda habitual como un bien inembargable.",403,0,1,no poder ejecutar primera único vivienda titular avalador exigir responsabilidad orden considerar vivienda habitual bien inembargable
"Las entidades bancarias garantizarán un alquiler social para las personas deudoras de buena fe, y sus unidades familiares, que habiendo cedido su vivienda única y habitual en dación en pago no dispongan de alternativa habitacional.",504,-1,-1,entidad bancario garantizar alquiler social persona deudora buen fe unidad familiar cedido vivienda único habitual dación pago no dispongar alternativa habitacional
"Si hará una nueva normativa con rango de ley, y no un mero Código de Buenas Prácticas, para asegurar que todas las personas con dificultades puedan mantener su vivienda y en todo caso se condonará la totalidad de deuda en caso de ser imposible una nueva refinanciación en condiciones asequibles.",403,0,1,si hacer nuevo normativa rango ley no mero código buena práctica asegurar todo persona dificultad poder mantener vivienda caso condonacer totalidad deudo caso ser imposible nuevo refinanciación condición asequible
"En ningún caso se podrá realizar el desalojo o desahucio de personas en situación de vulnerabilidad o sin alternativa habitacional, ya sea por impago de alquiler u ocupación en precario motivada por la falta de vivienda, sin que la administración competente garantice un realojo adecuado.",504,-1,-1,ninguno caso poder realizar desalojo desahucio persona situación vulnerabilidad alternativa habitacional impago alquiler u ocupación precario motivado falta viviendo administración competente garantizar realojo adecuado
Medidas contra la emergencia habitacional,H,0,0,medida emergencia habitacional
"El parque de viviendas públicas debe tener consideración de Servicio Público, tan importante como la educación o la sanidad públicas.",504,-1,-1,parcar vivienda público deber tener consideración servicio público tanto importante educación sanidad público
"El parque de viviendas públicas de ámbito autonómico, provincial y municipal deben contar con protección suficiente, ir dirigido a las personas expulsadas del mercado inmobiliario que no pueden acceder a una vivienda digna y adecuada para desarrollar su vida.",504,-1,-1,parcar vivienda público ámbito autonómico provincial municipal deber contar protección suficiente ir dirigir persona expulsado mercado inmobiliario no poder acceder vivienda digno adecuado desarrollar vida
"La vivienda pública, como servicio público, no puede venderse ni privatizarse.",504,-1,-1,vivienda público servicio público no poder vender él ni privatizar él
"Los grandes tenedores de vivienda, en especial las entidades financieras y filiales inmobiliarias, fondos buitre, entidades de gestión de activos (incluidos los procedentes de la reestructuración bancarias y entidades inmobiliarias), garantizarán un alquiler social para las personas y unidades familiares en situación de vulnerabilidad que no puedan hacer frente al pago de su vivienda y no dispongan de alternativa habitacional.",504,-1,-1,grande tenedor vivienda especial entidad financiero filial inmobiliario fondos buitre entidad gestión activo incluido procedente reestructuración bancario entidad inmobiliario garantizar alquiler social persona unidad familiar situación vulnerabilidad no poder hacer frente pago vivienda no dispongar alternativa habitacional
Las personas y unidades familiares en situación de vulnerabilidad que no puedan hacer frente al pago del alquiler de viviendas obtendrán ayudas que les garanticen evitar el desahucio.,504,-1,-1,persona unidad familiar situación vulnerabilidad no poder hacer frente pago alquiler vivienda obtener ayuda garanticen evitar desahucio
"En el caso que se lleve a cabo el alquiler social en una vivienda diferente a la que reside la familia o persona en situación de vulnerabilidad, éste realojo se producirá en la zona donde éstas tengan sus redes vitales y sociales.",504,-1,-1,caso llevar cabo alquiler social vivienda diferente residir familia persón situación vulnerabilidad este realojo producir zona este red vital social
"El precio a pagar en concepto de alquiler social no superará el 30% de los ingresos de la unidad familiar, incluidos gastos de suministros, de acuerdo con los estándares de Naciones Unidas, siempre y cuando los ingresos familiares superen el salario mínimo profesional; en caso contrario el precio a pagar en concepto de alquiler será del 10% de los ingresos y los suministros correrán a cargo de las empresas suministradoras.",504,-1,-1,precio pagar concepto alquiler social no superar ingreso unidad familiar incluido gasto suministro acuerdo estándares naciones unidas siempre ingreso familiar superir salario mínimo profesional caso contrario precio pagar concepto alquiler ingreso suministro correr cargo empresa suministrador
Moratoria en el pago de las hipotecas a las personas desempleadas.,403,0,1,moratoria pago hipoteca persona desempleado
Vivienda Pública,H,0,0,vivienda público
Proponemos que el Estado y las CC.AA. adquieran anualmente un paquete de viviendas construidas y terminadas proporcionales a la demanda de viviendas a precio de coste.,504,-1,-1,proponer ccaa adqueír anualmente paquetir vivienda construido terminada proporcional demandar vivienda precio coste
"Creación de un parque público de vivienda a través de la movilización de pisos vacíos en manos de entidades financieras y filiales inmobiliarias, fondos buitre, entidades de gestión de activos (incluidos los procedentes de la reestructuración bancarias y entidades inmobiliarias).",504,-1,-1,creación parque público viviendo través movilización piso vacío mano entidad financiero filial inmobiliario fondos buitre entidad gestión activo incluido procedente reestructuración bancario entidad inmobiliario
