Text,Code,libertad_personal_score,libertad_economica_score,text_processed
"La democracia consiste en crear las condiciones para avanzar hacia una sociedad de individuos cultos, informados, autónomos, libres.",202.1,0,0,democracia consistir crear condición avanzar hacia sociedad individuo culto informado autónomo libre
Ese es nuestro objetivo y él ha de orientar toda política cultural.,502,0,0,objetivo orientar todo política cultural
"Por ello, planteamos una verdadera revolución en materia cultural,",502,0,0,él plantear verdadero revolución materio cultural
"que consiste en dotar a nuestro país de una verdadera política cultural,",502,0,0,consistir dotar país verdadero política cultural
"en reemplazo de lo que ha existido hasta la fecha, una política de distribución de recursos a los artistas.",502,0,0,reemplazo existido fecha político distribución recurso artista
"No es que esté mal, pero distribuir recursos no es sino una parte de lo que debería ser la política cultural.",502,0,0,no mal distribuir recurso no sino parte deber ser política cultural
Porque lo esencial es que una política cultural esté destinada a los ciudadanos antes que a los artistas.,504,-1,-1,esencial política cultural destinado ciudadano artista
"Nuestra política cultural no suprime el fomento a la creación artística -lo corrige y mejora-,",502,0,0,política cultural no suprimir fomento creación artístico corregir mejora
pero pone en primer plano el rol emancipador de la cultura en la formación de una sociedad de ciudadanos.,504,-1,-1,poner primero plano rol emancipador cultura formación sociedad ciudadano
"Lo anterior significa que la Política Cultural debe velar por la Creación, Difusión, Formación y Acceso a la Cultura y las Artes.",502,0,0,anterior significar política cultural deber velar creación difusión formación acceso cultura artes
A continuación se presentan algunos elementos de propuesta asociadas a los cuatro objetivos señalados anteriormente.,502,0,0,continuación presentar elemento propuesto asociado cuatro objetivo señalado anteriormente
B.MINISTERIO DE CULTURA,502,0,0,bministerio cultura
"Los progresistas estimamos que el Ministerio de Cultura y Patrimonio, debe incorporar el Consejo Nacional de la Cultura y las Artes, la Dirección de Bibliotecas, Archivos y Museos (Dibam) y el Consejo de Monumentos Nacionales.",502,0,0,progresista estimar ministerio cultura patrimonio deber incorporar consejo nacional cultura art dirección biblioteca archivo museo dibam consejo monumento nacional
"Este Ministerio deberá considerar, en su actuar, la inclusión de los ciudadanos e integrantes del mundo de las Artes y la Cultura en Chile, así como su interacción,",502,0,0,ministerio deber considerar actuar inclusión ciudadano integrante mundo artes cultura chile así interacción
además de preocuparse por la descentralización de la implementación de las políticas públicas en Cultura y Patrimonio.,301,0,0,además preocupar él descentralización implementación política público cultura patrimonio
"Para ello proponemos crear un Congreso Nacional de Cultura, especie de Parlamento Cultural que reunirá a representantes del mundo cultural, patrimonial, regional y ciudadano.",502,0,0,él proponer crear congreso nacional cultura especie parlamento cultural reunir representante mundo cultural patrimonial regional ciudadano
"A su vez, este Ministerio contará con:",502,0,0,vez ministerio contar
Un Instituto para la Promoción y Difusión de las Artes;,502,0,0,instituto promoción difusión artes
"Una Dirección para el desarrollo de Bibliotecas, Archivos y Museos;",502,0,0,dirección desarrollo biblioteca archivo museo
Una Dirección de Monumentos Nacionales;,502,0,0,dirección monumento nacional
"Un Instituto para la creación, difusión y promoción de las culturas y las artes independientes.",502,0,0,instituto creación difusión promoción cultura art independiente
"En la actualidad, el presupuesto del Consejo Nacional de la Cultura y las Artes equivale al 0.3% del Presupuesto Nacional (2016),",502,0,0,actualidad presupuesto consejo nacional cultura artes equivaler presupuesto nacional
"cifra tres veces superior, en términos relativos, a las del 2013.",502,0,0,cifrar tres vez superior término relativo
"Sin embargo, el presupuesto del Ministerio de Cultura y Patrimonio debiese alcanzar el 1% del Presupuesto Anual Nacional, en un periodo de cuatro años.",502,0,0,embargo presupuesto ministerio cultura patrimonio deber alcanzar presupuesto anual nacional periodo cuatro año
"Inicialmente, en el primer año de gobierno progresista, proponemos duplicar el presupuesto en Cultura y Patrimonio,",502,0,0,inicialmente primero año gobierno progresista proponer duplicar presupuesto cultura patrimonio
"para que sea equivalente al 0.6% del presupuesto total, hasta alcanzar el 1%.",502,0,0,equivalente presupuesto total alcanzar
C.FOMENTO CREACIÓN Y DIFUSIÓN,502,0,0,cfomento creación difusión
"Los actuales instrumentos de fomento a la creación y difusión tienen una serie de debilidades, entre las cuales:",502,0,0,actual instrumento fomento creación difusión serie debilidad cual
No siempre distinguen entre artes.,502,0,0,no siempre distinguir art
"No diferencian entre tipos de proyectos, vale decir, por ejemplo, entre proyectos educacionales o experimentales.",502,0,0,no diferenciar tipo proyecto valer decir ejemplo proyecto educacional experimental
Suelen tener una visión utilitarista y mercantilistas de la ética y estética.,502,0,0,soler tener visión utilitarista mercantilistas ético estético
"Debido a lo anterior, proponemos:",502,0,0,debido anterior proponer
"Establecer fondos permanentes por artes (literatura, artes visuales, artes gráficas, arte experimental, fotografía).",502,0,0,establecer fondo permanente art literatura art visual art gráfico arte experimental fotografía
"Reevaluar las condiciones de admisión y requisitos para postular,",502,0,0,reevaluar condición admisión requisito postular
así como el perfil de los evaluadores.,502,0,0,así perfil evaluador
D.MUSEOS Y DIFUSIÓN,H,0,0,dmuseos difusión
"Chile no solo se caracteriza por una escasez de museos, a lo largo del país, sino también por la precariedad de estos mismos:",502,0,0,chile no solo caracterizar escasez museo largo país sino precariedad mismo
No cuentan con departamentos de adquisición,502,0,0,no contar departamento adquisición
que les permita renovar sus catálogos,502,0,0,permitir renovar catálogo
"y estar en sintonía con el arte contemporáneo, nacional e internacional.",502,0,0,sintonir arte contemporáneo nacional internacional
"No cuentan con fondos permanentes, ya sea para organizar exposiciones de talento consagrados o jóvenes talentos.",502,0,0,no contar fondo permanente organizar exposición talento consagrado joven talento
"No siempre gozan de la libertad editorial necesaria para exponer obras vanguardistas,",502,0,0,no siempre gozar libertad editorial necesario exponer obra vanguardista
con fuerte contenido político o disidentes en términos del denominado Establishment.,502,0,0,fuerte contenido político disidente término denominado establishment
"Por ello, proponemos:",502,0,0,él proponer
Revisar la existencia de museos a lo largo del país y las condiciones en las cuales operan.,502,0,0,revisar existencia museo largo país condición cual operar
Crear una Política Nacional de Museos,502,0,0,crear política nacional museos
"que permita asegurar líneas de financiamiento permanente para los museos públicos, del país,",502,0,0,permitir asegurar línea financiamiento permanente museo público país
