text,libertad_economica_score,libertad_personal_score,text_processed
"Invertir en educación pública y salud es fundamental para una sociedad próspera. Debemos priorizar estos sectores y promover políticas económicas que garanticen su financiación adecuada. Además, es esencial que abordemos la desigualdad de ingresos asegurando que las corporaciones y los individuos ricos paguen su parte justa de impuestos.",1,0,invertir educación público salud fundamental sociedad próspera deber priorizar sector promover política económico garanticen financiación adecuado además esencial aborder desigualdad ingreso asegurar corporación individuo rico pagar parte justo impuesto
"Creo firmemente en el principio de la libertad religiosa como piedra angular de nuestra sociedad. Todo individuo debe tener la libertad de practicar su religión sin interferencias y también respetar los derechos de los demás a hacer lo mismo. También defiendo la importancia de la tradición, la comunidad y la moralidad, a menudo inherentes a las estructuras religiosas, en la configuración de nuestro tejido social.",0,-1,creer firmemente principio libertad religioso piedra angular sociedad individuo deber tener libertad practicar religión interferencia respetar derecho demá hacer mismo defeir importancia tradición comunidad moralidad menudo inherente estructura religioso configuración tejido social
"Aunque reconozco y respeto plenamente el papel vital que ha desempeñado la inmigración en la configuración de nuestra nación, también creo que es importante defender el estado de derecho, lo que incluye priorizar fronteras seguras y un camino estructurado y legal hacia la ciudadanía. También creo en la importancia de la igualdad de oportunidades para todos los estadounidenses, independientemente de su raza, y que no se debe tolerar ninguna forma de discriminación. Es crucial que fomentemos políticas que fomenten la unidad y la identidad americana compartida en lugar de la división.",0,-1,aunque reconocer respetar plenamente papel vital desempeñado inmigración configuración nación creer importante defender derecho incluir priorizar frontera seguro camino estructurado legal hacia ciudadanía creer importancia igualdad oportunidad estadounidense independientemente raza no deber tolerar ninguno forma discriminación crucial fomentemo política fomentar unidad identidad americano compartido lugar división
"Creo firmemente que los intereses estadounidenses deben estar siempre en el centro de nuestras decisiones de política exterior, con un enfoque en la seguridad nacional, la prosperidad económica y los valores que apreciamos. Es primordial que mantengamos nuestro liderazgo global, no sólo a través de la fuerza militar, sino fomentando las relaciones comerciales, promoviendo la democracia y manteniéndonos firmes contra regímenes que amenazan la paz y los derechos humanos.",-1,0,creer firmemente interés estadounidense deber siempre centro decisión político exterior enfoque seguridad nacional prosperidad económico valor apreciar primordial mantengamo liderazgo global no sólo través fuerza militar sino fomentar relación comercial promover democracia manteniéndono firme regímén amenazar paz derechos humanos
"Creo firmemente que la desigualdad de la riqueza y los ingresos es una seria amenaza para nuestro tejido social y la estabilidad económica. Crear un sistema tributario progresivo, en el que las personas y corporaciones más ricas sean gravadas a una tasa más alta, puede ser una herramienta poderosa para abordar esta disparidad. Además, un sistema de educación pública robusto, una atención médica asequible y un salario digno pueden empoderar a todos los ciudadanos para que participen más plenamente en la economía, fomentando la prosperidad tanto individual como colectiva.",1,0,creer firmemente desigualdad riquezar ingreso serio amenazar tejido social estabilidad económico crear sistema tributario progresivo persona corporación rico gravada tasa alto poder ser herramienta poderoso abordar disparidad además sistema educación público robusto atención médico asequible salario digno poder empoderar ciudadano participar plenamente economía fomentar prosperidad individual colectivo
"Creo en el valor intrínseco de las instituciones y prácticas tradicionales que han sostenido a las sociedades durante generaciones. En el tema de la familia, siento que es la unidad fundamental de la sociedad, y su preservación debe ser priorizada. Además, creo que la responsabilidad individual y la intervención limitada del gobierno en los asuntos personales son clave para fomentar una sociedad donde la gente pueda prosperar verdaderamente.",0,-1,creer valor intrínseco institución práctico tradicional sostener sociedad generación tema familia sentir unidad fundamental sociedad preservación deber ser priorizar además creer responsabilidad individual intervención limitado gobierno asuntos personal clave fomentar sociedad gente poder prosperar verdaderamente
"Es fundamental abordar la desigualdad racial sistémica y trabajar hacia una sociedad que afirme la dignidad y el valor de todas las personas. Creo en la importancia de reconocer y desmantelar los efectos persistentes de las injusticias históricas, así como de hacer frente a la discriminación actual. Debería hacerse más hincapié en la creación de oportunidades sociales, económicas y políticas significativas para que las comunidades marginadas promuevan una verdadera igualdad y justicia.",0,1,fundamental abordar desigualdad racial sistémico trabajar hacia sociedad afirme dignidad valor todo persona creer importancia reconocer desmantelar efecto persistente injusticia histórico así hacer frente discriminación actual deber hacer él hincapié creación oportunidad social económico política significativo comunidad marginado promover verdadero igualdad justicia
"Si bien es innegable que debemos priorizar la salud de nuestro planeta, es crucial equilibrar la protección ambiental con el crecimiento económico. La innovación y la tecnología, no la regulación dominante, son los mejores caminos para una administración ambiental sostenible. Debemos fomentar el uso responsable de nuestros recursos naturales e incentivar a las empresas a adoptar prácticas más ecológicas.",0,0,si bien innegable deber priorizar salud planeta crucial equilibrar protección ambiental crecimiento económico innovación tecnologío no regulación dominante mejor camino administración ambiental sostenible deber fomentar uso responsable recurso natural incentivar empresa adoptar práctica ecológico
"Creo en la importancia de defender los valores familiares tradicionales, que considero la columna vertebral de una sociedad estable. También creo que la responsabilidad individual y la autosuficiencia deben alentarse más en nuestra sociedad, en lugar de crear una cultura de dependencia de la asistencia gubernamental. Es crucial que las personas estén equipadas con las habilidades necesarias para tener éxito y contribuir positivamente a la sociedad.",0,-1,creer importancia defender valor familiar tradicional considerar columna vertebral sociedad estable creer responsabilidad individual autosuficiencia deber alentar él sociedad lugar crear cultura dependencia asistencia gubernamental crucial persona equipado habilidad necesario tener éxito contribuir positivamente sociedad
"Creo firmemente en el derecho fundamental de cada individuo a definir, expresar y vivir su identidad como mejor le parezca, lo que incluye su orientación sexual e identidad de género. Estas libertades son intrínsecas a la autonomía y dignidad personal. También defiendo firmemente políticas familiares integrales e inclusivas que otorguen igualdad de derechos y protección a todas las familias, independientemente de su formación o estructura.",0,1,creer firmemente derecho fundamental cada individuo definir expresar vivir identidad mejor parezca incluir orientación sexual identidad género libertades intrínseco autonomío dignidad personal defeir firmemente política familiar integral inclusiva otorguen igualdad derechos protección todo familia independientemente formación estructura
"Creo firmemente en la evolución de la estructura familiar tradicional para incluir a diversas familias de todo tipo, incluyendo parejas del mismo sexo, padres solteros o parejas de hecho. Reconocer esta diversidad no es sólo una cuestión de semántica, se trata de respetar la miríada de maneras que las personas eligen para vivir y amar. Además, todos los individuos, independientemente de su género, deben tener igualdad de oportunidades en todas las facetas de la vida, y es crucial desmantelar las normas sociales que obstaculizan tal inclusión.",0,1,creer firmemente evolución estructura familiar tradicional incluir diverso familia tipo incluir pareja mismo sexo padr soltero pareja hecho reconocer diversidad no sólo cuestión semántico tratar respetar miríado manera persona eligen vivir amar además individuo independientemente género deber tener igualdad oportunidad todo faceta vida crucial desmantelar norma social obstaculizar tal inclusión
"El actual sistema de inmigración necesita desesperadamente reformas integrales para garantizar que damos la bienvenida a las personas que desean contribuir positivamente a nuestra sociedad. También es vital abordar las disparidades raciales en el sistema de justicia penal, con esfuerzos para reformar las prácticas que afectan desproporcionadamente a las comunidades de color. La justicia y las oportunidades no deben ser un privilegio de unos pocos sino un derecho para todos.",0,1,actual sistema inmigración necesitar desesperadamente reforma integral garantizar dar bienvenida persona desear contribuir positivamente sociedad vital abordar disparidad racial sistema justicia penal esfuerzo reformar práctica afectar desproporcionadamente comunidad color justicia oportunidad no deber ser privilegio poco sino derecho
"Creo en la importancia de un sistema tributario progresivo, en el que las personas más ricas contribuyan con una mayor proporción de sus ingresos, lo que puede ayudar a abordar la desigualdad de ingresos, que sigue siendo un problema urgente en nuestra sociedad. Además, invertir en servicios públicos como la educación y la salud es clave para empoderar a las personas y fomentar el crecimiento económico.",1,0,creer importancia sistema tributario progresivo persona rico contribuir mayor proporción ingreso poder ayudar abordar desigualdad ingreso seguir ser problema urgente sociedad además invertir servicio público educación salud clave empoderar persona fomentar crecimiento económico
"Es crucial defender un enfoque integral de la atención de la salud que garantice la accesibilidad para todos, independientemente de su estatus económico. La atención de la salud no es simplemente un privilegio para los ricos, sino un derecho fundamental que debe ser otorgado a todos los ciudadanos. De manera similar, la educación no debe ser una mercancía accesible sólo a aquellos que pueden permitírselo, sino una herramienta universalmente accesible que empodera a cada individuo para realizar su pleno potencial.",0,1,crucial defender enfoque integral atención salud garantizar accesibilidad independientemente estatus económico atención salud no simplemente privilegiar rico sino derecho fundamental deber ser otorgar ciudadano manera similar educación no deber ser mercancir accesible sólo aquel poder permitírselo sino herramienta universalmente accesible empodera cada individuo realizar pleno potencial
El presupuesto de defensa de nuestra nación debe priorizar los avances en tecnología y ciberseguridad para mantener un ejército fuerte y moderno. Es primordial para nuestra seguridad nacional que permanezcamos vigilantes contra los adversarios extranjeros. También debemos mantener una postura fuerte contra las iniciativas globales que podrían potencialmente obstaculizar la soberanía de nuestra nación.,-1,0,presupuesto defensa nación deber priorizar avance tecnologío ciberseguridad mantener ejército fuerte moderno primordial seguridad nacional permanezcamo vigilante adversario extranjero deber mantener postura fuerte iniciativa global poder potencialmente obstaculizar soberanía nación
"Creo en el principio fundamental de la libertad de religión, que permite a los individuos elegir, expresar y practicar su fe sin temor a juicio o represalias. También es importante mantener una clara separación de la iglesia y el estado, asegurando que las decisiones del gobierno se tomen sobre la base de consideraciones legales y prácticas en lugar de la doctrina religiosa.",0,1,creer principio fundamental libertad religión permitir individuo elegir expresar practicar fe temor juicio represalia importante mantener claro separación iglesio asegurar decisión gobierno tomar base consideración legal práctica lugar doctrina religioso
"El cambio climático es una cuestión urgente que requiere cooperación y acción globales. Las naciones más ricas e industrializadas, que históricamente han contribuido más a las emisiones de gases de efecto invernadero, deben liderar los esfuerzos proporcionando apoyo a los países en desarrollo en la transición a fuentes de energía renovables. Es una cuestión de justicia ambiental, ya que los menos responsables del cambio climático son a menudo los más afectados por sus consecuencias.",1,0,cambio climático cuestión urgente requerir cooperación acción global nación rico industrializado históricamente contribuido emisión gas efecto invernadero deber liderar esfuerzo proporcionar apoyo país desarrollo transición fuente energío renovable cuestión justicia ambiental menos responsable cambio climático menudo afectado consecuencia
"Creo que el cambio climático representa una grave amenaza para nuestro planeta y que la adopción inmediata y significativa de medidas es esencial para su mitigación.Es fundamental alentar las fuentes de energía renovables, la agricultura sostenible y la tecnología verde para un futuro más saludable y sostenible.La adopción generalizada de estas prácticas no sólo ayudará a frenar el calentamiento global, sino que también fomentará el crecimiento económico y la equidad social.",0,0,creer cambio climático representar grave amenaza planeta adopción inmediato significativo medida esencial mitigación fundamental alentar fuente energío renovable agricultura sostenible tecnología verde futuro saludable sosteniblelar adopción generalizado práctico no sólo ayudar frenar calentamiento global sino fomentar crecimiento económico equidad social
"Creo firmemente en abrazar la diversidad y abogar por la igualdad de derechos para cada individuo, independientemente de su raza, género, religión u orientación sexual. También es esencial salvaguardar nuestro entorno para las generaciones futuras, por lo tanto, el apoyo a las energías renovables y las prácticas sostenibles es clave. Además, la atención sanitaria accesible y la educación de calidad son derechos fundamentales que deben estar disponibles para todos, no sólo para unos pocos privilegiados.",0,1,creer firmemente abrazar diversidad abogar igualdad derechos cada individuo independientemente raza género religión u orientación sexual esencial salvaguardar entorno generación futuro apoyo energía renovable práctica sostenible clave además atención sanitario accesible educación calidad derecho fundamental deber disponible no sólo poco privilegiado
"Creo firmemente en la importancia de defender las libertades religiosas como piedra angular de nuestra sociedad, permitiendo que los individuos persigan sus creencias sin imposición ni prejuicio. Es primordial que respetemos una diversidad de creencias y prácticas espirituales, al tiempo que garantizamos que estos privilegios no infrinjan los derechos y libertades de los demás. Además, debemos seguir velando contra la erosión de estas libertades.",0,-1,creer firmemente importancia defender libertad religioso piedra angular sociedad permitir individuo perseguir creencia imposición ni prejuicio primordial respeter diversidad creencia práctico espiritual tiempo garantizar privilegio no infringir derecho libertades demá además deber seguir velar erosión libertad
