text,libertad_economica_score,libertad_personal_score,text_processed
"Creo firmemente en la importancia de reconocer y apoyar todas las estructuras familiares, ya sean hogares monoparentales, parejas del mismo sexo o familias tradicionales. También creo que cada individuo, independientemente de su género, debe tener igualdad de oportunidades en todos los aspectos de la vida, incluso en sus hogares, lugares de trabajo y la sociedad en general. Estos principios son vitales para fomentar la aceptación, la igualdad y la diversidad en nuestra sociedad.",0,1,creer firmemente importancia reconocer apoyar todo estructura familiar hogar monoparental parejo mismo sexo familia tradicional creer cada individuo independientemente género deber tener igualdad oportunidad aspecto vidar incluso hogar lugar trabajo sociedad general principio vital fomentar aceptación igualdad diversidad sociedad
"Creo firmemente que la igualdad de oportunidades es un derecho fundamental para cada individuo, independientemente de sus antecedentes o estatus. La salud, la educación y la estabilidad financiera deben ser hitos alcanzables para cada ciudadano y no sólo para unos pocos privilegiados. Hay que tomar medidas para erradicar las disparidades sistémicas y crear una sociedad donde todos tengan una oportunidad justa de tener éxito.",1,0,creer firmemente igualdad oportunidad derecho fundamental cada individuo independientemente antecedent estatus salud educación estabilidad financiero deber ser hito alcanzabl cada ciudadano no sólo poco privilegiado tomar medida erradicar disparidad sistémica crear sociedad oportunidad justo tener éxito
"Creo que la libertad religiosa es un derecho fundamental que debe ser respetado y protegido. Se debe permitir a todos practicar su fe libremente, expresar sus creencias abiertamente y participar plenamente en la sociedad sin temor a la discriminación o la retribución. Es importante recordar que nuestra nación se fundó sobre el principio de la libertad y que incluye la libertad de religión.",0,-1,creer libertad religioso derecho fundamental deber ser respetar proteger deber permitir practicar fe libremente expresar creencia abiertamente participar plenamente sociedad temor discriminación retribución importante recordar nación fundar principio libertad incluir libertad religión
"Los Estados Unidos deben priorizar sus intereses nacionales al participar en las relaciones internacionales, siempre con una fuerte defensa, pero con un enfoque mesurado que evite conflictos innecesarios. Nuestra ayuda exterior debe ser estratégica, centrada en fomentar alianzas que respeten nuestros valores e intereses, en lugar de desembolsar indiscriminadamente. Además, la independencia energética es clave, ya que reduce nuestra vulnerabilidad a regiones volátiles, refuerza nuestra fortaleza económica y refuerza la seguridad nacional.",-1,0,unido deber priorizar interés nacional participar relación internacional siempre fuerte defensa enfocar mesurado evite conflicto innecesario ayuda exterior deber ser estratégico centrado fomentar alianza respetar valor interés lugar desembolsar indiscriminadamente además independencia energético clave reducir vulnerabilidad región volátil refuerzo fortaleza económico refuerzo seguridad nacional
"En lo que respecta al conflicto israelo-palestino, creo firmemente en una solución de dos Estados, que haga hincapié en la importancia de la coexistencia y el respeto mutuo; es fundamental abordar las cuestiones de derechos humanos y garantizar un trato justo y equitativo para todas las partes interesadas; la diplomacia, la negociación y la cooperación internacional deben ser las piedras angulares de nuestro enfoque de esta compleja cuestión.",1,0,respecto conflicto israelopalestino creer firmemente solución dos hacer hincapié importancia coexistencia respeto mutuo fundamental abordar cuestión derechos humanos garantizar trato justo equitativo todo parte interesado diplomacia negociación cooperación internacional deber ser piedra angular enfocar complejo cuestión
"Creo firmemente que la asistencia sanitaria integral debe ser un derecho, no un privilegio, para todos los ciudadanos. La asistencia sanitaria universal no sólo enfatiza el valor del bienestar de cada individuo, sino que también sirve para reducir los costos sociales generales centrándose en la atención preventiva. Es esencial que abordemos las desigualdades dentro de nuestro sistema sanitario para asegurar que todos, independientemente de su estatus socioeconómico, tengan acceso a una atención de calidad.",0,1,creer firmemente asistencia sanitario integral deber ser derecho no privilegiar ciudadano asistencia sanitario universal no sólo enfatizo valor bienestar cada individuo sino servir reducir costo social general centrar él atención preventivo esencial aborder desigualdad dentro sistema sanitario asegurar independientemente estatu socioeconómico acceso atención calidad
"Creo profundamente en la importancia de una cobertura integral de la salud, que debe ser accesible a todas las personas, independientemente de su nivel de ingresos o de su situación laboral; la salud de nuestro país debe ser una prioridad absoluta y nunca debe verse comprometida por limitaciones monetarias; es esencial no sólo para el crecimiento y la prosperidad de nuestra nación, sino también para el mantenimiento de la dignidad y los derechos de todos los ciudadanos.",0,1,creer profundamente importancia cobertura integral salud deber ser accesible todo persona independientemente nivel ingreso situación laboral salud país deber ser prioridad absoluto nunca deber ver él comprometido limitación monetario esencial no sólo crecimiento prosperidad nación sino mantenimiento dignidad derechos ciudadano
"Si bien es crucial mantener relaciones diplomáticas y fomentar la cooperación internacional, es igualmente importante priorizar nuestras preocupaciones internas.Por ejemplo, en la cuestión del comercio mundial, necesitamos asegurarnos de que nuestros intereses nacionales, la seguridad laboral y el bienestar económico de nuestros ciudadanos no se vean socavados.Por lo tanto, cualquier acuerdo internacional debe ser abordado con un ojo exigente para asegurar condiciones beneficiosas para nuestra nación.",-1,0,si bien crucial mantener relación diplomático fomentar cooperación internacional igualmente importante priorizar preocupación internaspor ejemplo cuestión comercio mundial necesitar asegurarno interés nacional seguridad laboral bienestar económico ciudadano no ver socavadospor cualquiera acuerdo internacional deber ser abordar ojo exigente asegurar condición beneficioso nación
"Creo firmemente en el principio fundamental de la igualdad y, como tal, me preocupan las disparidades raciales que persisten en nuestra sociedad, particularmente en nuestro sistema de justicia penal. Ya es hora de que promulguemos una reforma integral de la justicia penal para rectificar esta cuestión sistémica. Asimismo, defiendo un enfoque compasivo y justo de la inmigración, que respete la dignidad humana y la inmensa contribución que hacen los inmigrantes a nuestra nación.",0,1,creer firmemente principio fundamental igualdad tal preocupar disparidad racial persistir sociedad particularmente sistema justicia penal hora promulguemos reforma integral justicia penal rectificar cuestión sistémico asimismo defeir enfoque compasivo justo inmigración respetar dignidad humano inmenso contribución hacer inmigrante nación
"La gestión sostenible de los recursos mundiales es una cuestión apremiante, y es fundamental que adoptemos un enfoque pragmático que equilibre el crecimiento económico con la responsabilidad ambiental y que mantenga la soberanía nacional al tiempo que participe en la cooperación internacional para garantizar una distribución justa y equitativa de los recursos.",-1,0,gestión sostenible recurso mundial cuestión apremiante fundamental adopter enfoque  pragmático equilibre crecimiento económico responsabilidad ambiental mantengo soberanía nacional tiempo participar cooperación internacional garantizar distribución justo equitativo recurso
