Text,Code,libertad_personal_score,libertad_economica_score,text_processed
"El JNE deberá resolver dichas solicitudes en el plazo de 30 días, luego de escuchar al congresista acusado.",202.1,0,0,jne deber resolver dicho solicitud plazo día luego escuchar congresista acusado
5. Conformación de las Comisiones ordinarias con vocación de permanencia: solo serán renovadas a mitad de mandato.,202.1,0,0,conformación comisión ordinario vocación permanenciar solo renovado mitad mandato
"Estas funcionarán solo con miembros plenos, sin accesitarios y con obligatoriedad de asistencia y producción de agenda normativa pública semestral.",202.1,0,0,funcionar solo miembro pleno accesitario obligatoriedad asistencia producción agendo normativo público semestral
6. Designación dentro del primer año de altos funcionarios cuyas designaciones se encuentren pendientes o cuyos mandatos estén vencidos o próximos a su vencimiento.,202.1,0,0,designación dentro primero año alto funcionario cuyo designación encontrar pendiente cuyo mandato vencido próximo vencimiento
"En caso que el Congreso no cumpla con lo dispuesto, un mínimo de 10. 000 ciudadanos podrá solicitar al JNE que conmine al Congreso el cumplimiento de su obligación.",202.1,0,0,caso congreso no cumplir dispuesto mínimo ciudadano poder solicitar jne conmine congreso cumplimiento obligación
"En caso que el Congreso no atienda dicha conminatoria, el Jurado podrá convocar a nuevas elecciones de congresistas.",202.1,0,0,caso congreso no atiendar dicho conminatorio jurado poder convocar nuevo elección congresista
"7. Fortalecer sistemas informáticos y publicar asistencia y votaciones por bancadas y congresistas, en sesiones del Pleno y Comisiones, publicadas en tiempo real.",202.1,0,0,fortalecer sistema informático publicar asistencia votación bancada congresista sesión pleno comisión publicado tiempo real
"8. Reorganización del personal de despacho parlamentario: incorporación progresiva a la Ley Servir, y dotación estándar de: 02 asesores y 01 asistente con la calidad de cargo de confianza por cada congresista, los que se laborarán a dedicación exclusiva.",202.1,0,0,reorganización personal despacho parlamentario incorporación progresivo ley servir dotación estándar asesor asistente calidad cargo confianza cada congresista laboracer dedicación exclusivo
"Del mismo modo debe ocurrir con las comisiones ordinarias, las bancadas, la mesa directiva, el pleno y la oficialía mayor así como las distintas oficinas y entes adscritos al parlamento.",202.1,0,0,mismo modo deber ocurrir comisión ordinario bancada mesa directivo pleno oficialía mayor así distinto oficina ent adscrito parlamento
"9. El Presidente del Congreso dejará de tener la prerrogativa, de la que actualmente goza, por la que puede a su arbitrio decidir qué asuntos de la agenda deben ser tratados y aprobados en el pleno.",202.1,0,0,presidente congreso dejar tener prerrogativo actualmente gozar poder arbitrio decidir asunto agendo deber ser tratar aprobado pleno
"Dicha decisión deberá, en adelante, ser adoptada por mayoría en la junta de portavoces.",202.1,0,0,dicho decisión deber adelante ser adoptar mayoría junto portavoz
"10. Debe derogarse el artículo 95 de la Constitución, referido a “Irrenunciabilidad del Mandato Legislativo”;",204,0,0,deber derogar él artículo constitución referido irrenunciabilidad mandato legislativo
así como eliminarse la expresión “durante las horas de funcionamiento del Congreso” del artículo 92 de la Constitución.,204,0,0,así eliminar él expresión hora funcionamiento congreso artículo constitución
"11. Modificación de la inmunidad parlamentaria, para que en los casos de condenas con prisión efectiva por delitos dolosos esta se levante de manera automática y proceda el desaforo correspondiente.",202.1,0,0,modificación inmunidad parlamentario caso condena prisión efectivo delito doloso levante manera automático proceder desaforo correspondiente
"12. Creación de la Oficina de Estudios Económicos del Congreso, para la elaboración de los análisis costo beneficio.",202.1,0,0,creación oficinar estudio económico congreso elaboración análisis costo beneficio
"Se sugiere la participación de representantes permanentes del MEF, el BCRP y el Indecopi.",202.1,0,0,sugerir participación representante permanente mef bcrp indecopi
13. Reelección congresal inmediata solo por la misma circunscripción electoral por la que fueron electos en el periodo anterior.,202.1,0,0,reelección congresal inmediato solo mismo circunscripción electoral electo periodo anterior
Reforma del sistema de partidos.,202.1,0,0,reforma sistema partido
"La política orgánica y democrática requiere replantear el sistema de partidos y fortalecer su capacidad de acción, movilización y financiamiento. Al respecto se propone:",202.1,0,0,política orgánico democrático requerir replantear sistema partido fortalecer capacidad acción movilización financiamiento respecto proponer
"1. La obligación de que los candidatos declaren en sus hojas de vida sobre: procesos judiciales en trámite, bienes y rentas, e impedimento para ser candidato de personas condenadas en segunda instancia.",304,0,0,obligación candidato declarar hoja vida proceso judicial trámite bién renta impedimento ser candidato persona condenado segundo instancia
"2. Valla electoral de no menos de 2,5% para alianzas de dos partidos, e incrementos progresivos de 3 puntos porcentuales por cada partido político que se incorpore.",202.1,0,0,valla electoral no menos alianza dos partido incremento progresivo punto porcentual cada partido político incorporar
3. Perdida de la inscripción para los partidos que no alcancen representación parlamentario o que no participen dos procesos electorales nacionales en un periodo de tres elecciones.,202.1,0,0,perdido inscripción partido no alcanzar representación parlamentario no participar dos proceso electoral nacional periodo tres elección
Reforma electoral,H,0,0,reforma electoral
"1. Voto voluntario, libre, universal y secreto.",202.1,0,0,voto voluntario libre universal secreto
2. Voto electrónico.,202.1,0,0,voto electrónico
3. Renovación por tercios del congreso a mitad de periodo.,202.1,0,0,renovación tercio congreso mitad periodo
4. Elecciones parlamentarias coincidentes con la realización de la segunda vuelta de la elección presidencial.,202.1,0,0,elección parlamentario coincident realización segundo vuelta elección presidencial
"5. Democracia interna en los procesos electorales internos con la participación vinculante de los entes electorales, sea para elecciones primarias, asambleas de delegados u otros.",202.1,0,0,democracia interno proceso electoral interno participación vinculante ente electoral elección primario asamblea delegado u
6. Sanciones reales para partidos políticos y agrupaciones que no cumplan con rendir y reportar sus gastos de campaña y ordinarios: ubicaciones al final de la cédula de votación y perdida de la inscripción por incumplimiento reiterado.,304,0,0,sanción real partido político agrupación no cumplir rendir reportar gasto campaña ordinario ubicación final cédula votación perdido inscripción incumplimiento reiterado
