Text,Code,libertad_personal_score,libertad_economica_score,text_processed
Ante la ausencia de una regulación adecuada (fallas de gobierno) las plantas procesadoras tienden a apoderarse del excedente de los agricultores debido a la inflexibilidad de las inversiones en el sector agrícola (especialmente tratándose de productos de larga maduración) frente a la flexibilidad de las inversiones en las plantas procesadoras.,403,0,1,ausencio regulación adecuado falla gobierno planta procesadora tender apoderar él excedente agricultor debido inflexibilidad inversión sector agrícola especialmente tratar él producto largo maduración frente flexibilidad inversión planta procesadora
"Con el fin de mejorar la productividad de nuestras empresas,",402,0,1,fin mejorar productividad empresa
proteger sus esfuerzos innovadores,403,0,1,proteger esfuerzo innovador
"y contribuir a hacerlas más competitivas, con el fin de generar mayor empleo, nuestro gobierno impulsará las siguientes políticas públicas:",402,0,1,contribuir hacer él competitiva fin generar mayor empleo gobierno impulsar siguiente política público
1. Flexibilizar el empleo.,701,0,0,flexibilizar empleo
Somos conscientes y respetuosos de los derechos de los trabajadores y en particular el de la estabilidad laboral.,701,0,0,consciente respetuoso derecho trabajador particular estabilidad laboral
Respetaremos el derecho de aquellos que lo tienen.,701,0,0,respetarer derecho aquel
"Sin embargo, somos igualmente conscientes de que una gran mayoría de peruanos, que se acerca al 70% de la PEA, no ve satisfecho su derecho a trabajar,",701,0,0,embargo igualmente consciente no gran mayoría peruano acerca peo no ver satisfecho derecho trabajar
"porque no cuenta con un empleo de calidad,",701,0,0,no contar empleo calidad
ni remuneraciones adecuadas,701,0,0,ni remuneración adecuado
ni tampoco sistemas de salud y pensiones.,504,-1,-1,ni tampoco sistema salud pensión
Para esta inmensa mayoría de peruanos tomaremos medidas inmediatas destinadas a hacer que los costos que las empresas deben pagar al contratar trabajadores se reduzcan considerablemente.,402,0,1,inmenso mayoría peruano tomar medida inmediato destinado hacer costo empresa deber pagar contratar trabajador reducir considerablemente
"De la misma manera como al final de la década de 1990 promovimos normas de flexibilización laboral para los trabajadores agrícolas, que hoy han sido incorporadas en normas legales,",703.1,0,0,mismo manera final décado promover norma flexibilización laboral trabajador agrícola hoy ser incorporar norma legal
implementaremos normas de excepción que abaraten el costo de contratar con el fin de elevar la oferta de empleo y el monto de las remuneraciones ofrecidas.,402,0,1,implementarer norma excepción abaratir costo contratar fin elevar oferta empleo monto remuneración ofrecido
2. Facilitar el pago de impuestos.,402,0,1,facilitar pago impuesto
La tributación debe dejar de ser complicada.,402,0,1,tributación deber dejar ser complicar
Promoveremos mecanismos sencillos de declaración y pago para no ahuyentar a los emprendedores que desean ingresar a la formalización.,402,0,1,promoveremos mecanismo sencillo declaración pago no ahuyentar emprendedor desear ingresar formalización
"Dejaremos de emitir normas tributarias sólo para una realidad urbana,",402,0,1,dejaremos emitir norma tributario sólo realidad urbano
"será nuestra prioridad reconocer las distintas realidades de nuestro país, incentivando la dación de normas de acuerdo a la ubicación y actividad en las que los contribuyentes se desarrollen.",402,0,1,prioridad reconocer distinto realidad país incentivar dación norma acuerdo ubicación actividad contribuyent desarrollar
3. Preparar nuestra Fuerza Laboral.,411,0,1,preparar fuerza laboral
Queremos trabajadores capaces de mantenerse con empleos.,411,0,1,querer trabajador capaz mantener él empleo
"Para ello es fundamental que el Estado facilite la coordinación entre los perfiles laborales demandados por nuestras empresas y las capacidades generadas por universidades, institutos tecnológicos y colegios secundarios.",411,0,1,él fundamental facilitar coordinación perfil laboral demandado empresa capacidad generado universidades instituto tecnológico colegio secundario
"Desarrollaremos programas conjuntos con las empresas peruanas, orientados a identificar los perfiles ideales del trabajador peruano.",411,0,1,desarrollarer programa conjunto empresa peruano orientado identificar perfil ideal trabajador peruano
"Así, haremos que el trabajador peruano tenga gran capacidad de empleabilidad, vale decir, que sea capaz de mantener valor laboral en el mercado, de manera que gane en flexibilidad y adaptabilidad, que sea capaz de integrarse a diferentes entornos y posea alta capacidad de aprendizaje permanente.",411,0,1,así hacer trabajador peruano gran capacidad empleabilidad valer decir capaz mantener valor laboral mercado manera ganar flexibilidad adaptabilidad capaz integrar él diferente entorno poseer alto capacidad aprendizaje permanente
4. Empezando a Trabajar.,701,0,0,empezar trabajar
Vamos a establecer el Programa “Empezando a Trabajar” mediante el cual el Estado financiará a alumnos destacados de las universidades para que apoyen a gobiernos municipales de escasos recursos en la elaboración de sus planes y proyectos de inversión;,701,0,0,ir establecer programa empezar trabajar mediante financiar alumno destacado universidad apoyar gobierno municipal escaso recurso elaboración plan proyecto inversión
y para que apoyen a pequeñas y microempresas en la elaboración de sus planes de negocios,402,0,1,apoyar pequeño microempresa elaboración plan negocio
5. Programa Asociando Esfuerzos para Crecer y Competir.,402,0,1,programa asociar esfuerzo crecer competir
La asociación de PYMEs que corresponden a una misma rama o ramas complementarias constituye una estrategia efectiva de competitividad.,402,0,1,asociación pyme corresponder mismo rama rama complementario constituir estrategia efectivo competitividad
"Un esfuerzo embrionario que muestra las virtudes de la asociación es el caso de los programas de compras de “millones” de buzos, calzado, etc., impulsado en los 1990.",402,0,1,esfuerzo embrionario mostrar virtud asociación caso programa compra millón buzo calzado etc impulsado
"Nuestro Gobierno promoverá la asociación de PYMEs pero no sólo para conectarlas con el sector público, sino también identificando oportunidades en el sector privado.",402,0,1,gobierno promover asociación pyme no sólo conectarla sector público sino identificar oportunidad sector privado
"Con el fin de identificar la potencialidad de integración vertical de empresas a través de Clusters, realizaremos el Primer Censo de Competitividad de las PYMEs con el fin de identificar sus posibilidades de inclusión en cadenas productivas conectadas a los mercados.",402,0,1,fin identificar potencialidad integración vertical empresa través cluster realizarer primero censo competitividad pyme fin identificar posibilidad inclusión cadena productivo conectado mercado
"En base a este censo, el rol del Estado se centrará en promover y facilitar la asociación de PYMEs con el fin de insertarlas en cadenas productivas.",402,0,1,base censo rol centrar promover facilitar asociación pyme fin insertarlos cadena productivo
6. Programa Empresas Emprendedoras.,402,0,1,programa empresa emprendedor
"Estudios sobre el éxito de economías asiáticas han identificado que la intervención del Estado en estos países, lejos de utilizar la planificación centralizada, lo que han hecho es introducir incentivos explícitamente condicionados al desempeño empresarial.",402,0,1,estudio éxito economía asiático identificado intervención país lejos utilizar planificación centralizado hecho introducir incentivo explícitamente condicionado desempeño empresarial
"Es decir, lo que estos países han hecho es replicar lo que una economía de mercado haría, incentivar sólo a las empresas exitosas y penalizar a las de rendimientos pobres.",402,0,1,decir país hecho replicar economía mercado hacer incentivar sólo empresa exitoso penalizar rendimiento pobre
Por eso a estas estrategias se les conoce como “incentivos endógenos” o “incentivos contingentes”.,402,0,1,estrategia conocer incentivo endógeno incentivo contingent
La característica común es que los “incentivos contingentes” sólo se otorgan en función del desempeño de la empresa individual.,402,0,1,característica común incentivo contingent sólo otorgar función desempeño empresa individual
"En contraposición los incentivos indiscriminados, también llamados “Políticas de Desarrollo Industrial” promueven la ineficiencia y el comportamiento rentista de las empresas involucradas.",402,0,1,contraposición incentivo indiscriminado llamado política desarrollo industrial promover ineficiencia comportamiento rentista empresa involucrado
El tipo de “incentivos contingentes” se aparta de los sistemas de planificación descentralizada porque el objetivo del primero busca eliminar las “fallas del mercado” mientras que el sistema de planificación centralizada busca eliminar la esencia del libre mercado.,402,0,1,tipo incentivo contingent apartar sistema planificación descentralizado objetivo primero buscar eliminar falla mercado mientras sistema planificación centralizado buscar eliminar esencia libre mercado
La bondad del tipo de “incentivos contingentes” es que está asociado a que las empresas sean exitosas.,402,0,1,bondad tipo incentivo contingent asociado empresa exitoso
En el Perú el mejor ejemplo de estos programas es uno diseñado también en la década de los 1990 y cuya ejecución fue seguida por los sucesivos gobiernos de la década del 2000. Se trata del programa “MIVIVIENDA”.,504,-1,-1,perú mejor ejemplo programa diseñado década cuyo ejecución seguido sucesivo gobierno décado tratar programa miviviendo
