Text,Code,libertad_personal_score,libertad_economica_score,text_processed
"Para ello, se pondrá en funcionamiento efectivo un fuero judicial especializado, independiente y profesional, que garantice rápida sanción de los incumplimientos.",408,0,-1,él poner funcionamiento efectivo fuero judicial especializado independiente profesional garantice rápido sanción incumplimiento
Se lanzará un programa de fortalecimiento institucional de la AFIP en coordinación con todas las dependencias fiscalizadoras del país.,408,0,-1,lanzar programa fortalecimiento institucional afip coordinación todo dependencios fiscalizadora país
"En Aduanas, se lanzará una profunda reforma que defina una nueva estrategia operativa para los controles que impida las prácticas del dumping, el contrabando, las operaciones de sobre-facturación de exportaciones y de sub-facturación de importaciones y la manipulación de los precios de transferencia.",406,0,-1,aduana lanzar profundo reforma defín nuevo estrategia operativo control impedir práctica dumping contrabar operación sobrefacturación exportación subfacturación importación manipulación precio transferencio
IGUALDAD DE OPORTUNIDADES Y DESARROLLO DE CAPACIDADES,H,0,0,igualdad oportunidad desarrollo capacidad
La construcción de una nueva ciudadanía social requiere garantizar el acceso igualitario a los recursos imprescindibles para la satisfacción de las necesidades humanas y el pleno desarrollo de las capacidades personales.,503,1,-1,construcción nuevo ciudadanía social requerir garantizar acceso igualitario recurso imprescindible satisfacción necesidad humano pleno desarrollo capacidad personal
"Este objetivo se logrará mediante la articulación de las políticas de empleo,",701,0,0,objetivo lograr mediante articulación política empleo
"de sostenimiento del ingreso, alimentaria y de crecimiento económico,",503,1,-1,sostenimiento ingreso alimentario crecimiento económico
junto con otras que corrijan las desigualdades en aquellas áreas claves para el desarrollo de las capa cidades necesarias para una plena inserción social.,503,1,-1,junto corregir desigualdad aquel área clave desarrollo capa cidad necesario pleno inserción social
LA VIVIENDA: UN DERECHO SOCIAL,H,0,0,vivienda derecho social
El acceso a una vivienda digna es uno de los derechos humanos fundamentales y los múltiples problemas que existen en el país para su efectivo cumplimiento explican gran parte del aumento de la “pobreza estructural”.,504,-1,-1,acceso vivienda digno derechos humanos fundamental múltiple problema existir país efectivo cumplimiento explicar no gran parte aumento pobreza estructural
"El acceso a una vivienda digna no sólo incluye las características de las viviendas, sino también la infraestructura y el equipamiento social que garantice a las personas un habitat decente: agua potable, red cloacal y pluvial, electricidad, gas, pavimento.",504,-1,-1,acceso vivienda digno no sólo incluir característica vivienda sino infraestructuro equipamiento social garantizar persona habitat decente agua potable red cloacal pluvial electricidad gas pavimento
"Todos los países con mejores indicadores económicos y sociales cuentan con políticas públicas activas destinadas a promover condiciones más eficientes y equitativas de acceso a la vivienda y al habitat humano, con prioridad en la vivienda dirigida a los sectores sociales más vulnerables.",504,-1,-1,país mejor indicador económico social contar política público activo destinado promover condición eficiente equitativo acceso vivienda habitat humano prioridad vivienda dirigido sector social vulnerable
"En la Argentina, por el contrario, las instituciones y las políticas públicas en esta materia sufrieron un agudo proceso de destrucción en los últimos años: erosión de las fuentes de financiamiento del FONAVI y desvío de los recursos; privatización y vaciamiento operativo y patrimonial del Banco Hipotecario Nacional; fragmentación y desarticulación institucional del sistema nacional de vivienda.",504,-1,-1,argentina contrario institución política público materio sufrir agudo proceso destrucción último año erosión fuente financiamiento fonavi desvío recurso privatización vaciamiento operativo patrimonial banco hipotecario nacional fragmentación desarticulación institucional sistema nacional vivienda
"Hoy no existe en el país una política de vivienda, de ordenamiento del territorio y de desarrollo del habitat humano.",504,-1,-1,hoy no existir país político viviendo ordenamiento territorio desarrollo habitat humano
Se acentuó el clientelismo unido a la falta de transparencia en la selección de beneficiarios; el escaso o nulo recupero de la cartera de préstamos; las irregularidades en la situación de dominio de los ocupantes; la preferencia por la vivienda terminada y de alto costo; etc.,304,0,0,acentuar clientelismo unido faltar transparencia selección beneficiario escaso nulo recupero cartera préstamos irregularidad situación dominio ocupante preferencia vivienda terminado alto costo etc
"Además el déficit habitacional sigue aumentando, la oferta en materia de viviendas sociales ha sido escasa y poco flexible, predominando la construcción de vivienda terminada, llave en mano, con gran rigidez y elevados costos.",504,-1,-1,además déficit habitacional seguir aumentar oferta materio vivienda social ser escaso flexible predominar construcción vivienda terminado llave mano no gran rigidez elevado costo
"Al mismo tiempo, la mayor parte de las provincias no ha realizado la escrituración de las viviendas adjudicadas por planes públicos, tampoco cuenta con un registro actualizado de los créditos que fueron cancelados, y con una clasificación de las hipotecas según nivel de ingreso del deudor, cuotas canceladas y grado de morosidad.",504,-1,-1,mismo tiempo mayor parte provincia no realizado escrituración vivienda adjudicada plan público tampoco contar registro actualizado crédito cancelado clasificación hipoteca según nivel ingreso deudor cuota cancelado grado morosidad
"En este contexto, y consistente con la estrategia distributiva y productiva, se propone una estrategia de cambio integral de las políticas, las instituciones y los modelos de gestión en el área de vivienda, con el objetivo de lograr una mayor apertura a las iniciativas provenientes de las organizaciones sociales y los gobiernos locales.",606.2,1,0,contexto consistente estrategia distributivo productivo proponer estrategia cambio integral política institución modelos gestión área vivienda objetivo lograr mayor apertura iniciativo proveniente organización social gobierno local
En este sentido se pretende fortalecer el desarrollo local y lograr mayor transparencia y control social en el uso de los recursos disponibles.,504,-1,-1,pretender fortalecer desarrollo local lograr mayor transparencia control social uso recurso disponible
Estos cambios son imprescindibles y simultáneos con la reconstrucción de las fuentes de financiamiento.,504,-1,-1,cambio imprescindible simultáneos reconstrucción fuente financiamiento
Un sistema federal de vivienda y desarrollo local,H,0,0,sistema federal vivienda desarrollo local
"Se ha de construir un efectivo “sistema federal de vivienda y desarrollo local”, sobre la base de una política nacional de largo plazo orientada en los siguientes principios generales:",301,0,0,construir efectivo sistema federal viviendo desarrollo local base político nacional largo plazo orientado siguiente principio general
Concentrar los esfuerzos en las zonas y en los grupos sociales en donde el déficit habitacional es más agudo;,504,-1,-1,concentrar esfuerzo zona grupo social déficit habitacional agudo
Flexibilizar y diversificar las “soluciones” habitacionales adecuándolas a las particulares condiciones de la demanda;,504,-1,-1,flexibilizar diversificar solución habitacional adecuándola particular condición demanda
"Integrar la política de vivienda en un esquema más racional de ocupación del territorio, mejora del medio ambiente y la dotación de infraestructura social básica;",504,-1,-1,integrar política viviendo esquema racional ocupación territorio mejorar medio ambiente dotación infraestructura social básico
"Estimular la capacidad de gestión, la participación y el esfuerzo propio de la comunidad en la solución de los problemas habitacionales y del hábitat;",504,-1,-1,estimular capacidad gestión participación esfuerzo propio comunidad solución problema habitacional hábitat
Garantizar la transparencia y la auditoria social en el diseño y la ejecución de los programas y en la selección de los beneficiarios;,504,-1,-1,garantizar transparencia auditoria social diseño ejecución programa selección beneficiario
