Text,Code,libertad_personal_score,libertad_economica_score,text_processed
Será necesario frenar los abusos en el cobro de servicios,304,0,0,necesario frenar abuso cobrar servicio
"e implantar estrictas medidas de higiene y impieza en gasolineras, restaurantes y centros turísticos.",403,0,1,implantar estricto medida higienir impieza gasolinera restaurante centro turístico
5.9.- Ciencia y Tecnología,,0,0,ciencia tecnología
Con el propósito de promover el avavance enste terreno nos proponernos realizar lo siguiente:,411,0,1,propósito promover avavance enste terreno proponerno realizar siguiente
Destina recursos abundantes para realizar una labor profunda de investigación en técnicas agropecuarias.,411,0,1,destinar recurso abundante realizar labor profundo investigación técnico agropecuario
Adquirir tecnología disponible y destinar recursos para el desarrollo por parte de técnicos nacionales en ateria de captura de especies marinas o lacustres.,411,0,1,adquirir tecnología disponible destinar recurso desarrollar parte técnico nacional aterio capturo especie marino lacustr
"Elevar el nivel académico en las escuelas enstitutos, desde la educación básica hasta los niveles profesionales, tecnicos de postgrado.",411,0,1,elevar nivel académico escuela enstituto educación básico nivel profesional tecnico postgrado
Cuidar en todo caso que los adelantos cientificos que se logren setilicen para el desarrollo de la  planta industrial y productiva,411,0,1,cuidar caso adelanto cientifico lograr setilicir desarrollo planta industrial productivo
y que en ningún caso se afecte la ecología del pais,501,0,0,ninguno caso afectar ecología pais
ni se atropellen los valôres éticos de los mexicanos.,601,0,0,ni atropellir valr ético mexicano
"En un marco jurídico moderno y equitativo, vigilar y agilizar el registra de patentes para der plena seguridad a investigadores e inventores.",403,0,1,marco jurídico moderno equitativo vigilar agilizar registrar patente der pleno seguridad investigador inventor
"Impulsar la creación de centros de investigation básica y establecer becas para el postgrado en áreas de investigación y ciencia aplicada, buscando que los beneficiados, pongan sus conocimientos al servicio de la sociedad.",411,0,1,impulsar creación centro investigation básico establecer beca postgrado área investigación ciencia aplicado buscar beneficiado poner conocimiento servicio sociedad
5.10.- Pesca,,0,0,pesca
"La naturaleza doté a México de una grau cantidad de cuerpos de agua continentales, de amplias zonas estuarias y de extensos litorales, en los que existe una considerable variedad de especies pesqueras susceptibles de aprovechamiento.",703,0,0,naturaleza doté méxico grau cantidad cuerpo agua continental amplio zona estuaria extenso litoral existir considerable variedad especie pesquera susceptible aprovechamiento
"Al respecto proponemos una nueva estrategia para la ordenacién y el desarrollo de la pesca, a través de los siguientes puntos concretos:Hacer una revisión del marco jurídico de la pesca a fin de que todos los mexicanos que deseen dedicarse a tal actividad, sea en la captura o en el cultivo, lo hagan con sentido social, procurando que los tripulantes de embarcaciones y quienes en général aporten fuerza de trabajo, tengan junto con los que aporten el capital, acceso a la copropiedad y cogestión de la empresa donde laboren.",703,0,0,respecto proponer nuevo estrategia ordenacién desarrollo pesco través siguiente punto concretoshacer revisión marco jurídico pesco fin mexicano deseir dedicar él tal actividad capturo cultivo hacer social procurar tripulant embarcación général aportar fuerza trabajo junto aportar capital acceso copropiedad cogestión empresa laborir
Se fomentarán las cooperativas pesqueras y se les asistirá con asesoría técnica y financiera y la infraestructura necesaria.,703,0,0,fomentar cooperativo pesquera asistir asesoría técnica financiero infraestructura necesario
"Se estimulará la instalación de plantas congeladoras, en'latadoras, reductores y de ôtros procesos entre los que seencuentra el secado y salado.",402,0,1,estimular instalación planta congeladora enlatadora reductor tro proceso seencuentro secado salado
