Text,Code,libertad_personal_score,libertad_economica_score,text_processed
"En Unidad Popular defendemos un modelo de Escuela pública, gratuita, universal y laica, coeducativa, intercultural y solidaria ecológica, abierta al entorno, inclusiva, participativa y democrática;",506,0,0,unidad popular defendemo modelo escuela público gratuito universal laico coeducativo intercultural solidario ecológico abierto entorno inclusivo participativo democrático
"una Educación, en suma, que garantice la igualdad de oportunidades a toda la ciudadanía.",506,0,0,educación sumar garantice igualdad oportunidad todo ciudadanía
"Apostamos por una enseñanza científica, humanística y artística, que fomente la creatividad y el espíritu crítico del alumnado.",506,0,0,apostar enseñanza científico humanística artístico fomente creatividad espíritu crítico alumnado
"La  Escuela  pública  laica  debe  respetar  la  libertad  de  pensamiento,  de  conciencia  y  de  religión.",604,1,0,escuela pública laico deber respetar libertad pensamiento concienciar religión
"Cualquier religión, incluidos sus actos o símbolos, quedará fuera de los centros educativos públicos y las aulas, sin perjuicio de la libertad individual a portar símbolos religiosos.",604,1,0,cualquiera religión incluido acto símbolo quedar centro educativo público aulas perjuicio libertad individual portar símbolo religioso
Defendemos un modelo de Universidad pública orientada al Bien Común y no a los intereses a corto plazo del mercado y los poderes económicos.,506,0,0,defendemo modelo universidad público orientado bien común no interés corto plazo mercado poder económico
Promoveremos un Plan de choque contra el fracaso escolar.,506,0,0,promoveremos plan choque fracaso escolar
"Fomentaremos la participación democrática de la comunidad y de los agentes educativos tanto en la elaboración de las reformas, como en la gestión de los Centros públicos de Enseñanza obligatoria y superior.",506,0,0,fomentaremos participación democrático comunidad agente educativo elaboración reforma gestión centro público enseñanza obligatorio superior
"4.1.1. ENSEÑANZA PÚBLICA GRATUITA, UNIVERSAL Y LAICA",H,0,0,enseñanza público gratuito universal laico
Un eje principal de nuestra acción política será revertir el impacto en el sistema educativo de los recortes presupuestarios y las privatizaciones.,506,0,0,eje principal acción político revertir impacto sistema educativo recorte presupuestario privatización
Cambios en el marco normativo,H,0,0,cambio marco normativo
"Para ello, proponemos: Derogación del paquete de medidas legislativas en Educación, tanto del actual Gobierno  como de gobiernos anteriores, empezando por la LOMCE y siguiendo por la LOU.",506,0,0,él proponer derogación paquetir medida legislativo educación actual gobierno gobiernos anterior empezar lomce seguir lou
"Derogación de la legislación tendente a mercantilizar la Enseñanza Superior y a privatizar el conocimiento: Decreto 3+2, Decreto para acceso a los cuerpos docentes universitarios y Decreto de creación, reconocimiento, autorización y acreditación de universidades y centros universitarios.",506,0,0,derogación legislación tendente mercantilizar enseñanza superior privatizar conocimiento decreto decreto acceso cuerpo docente universitario decreto creación reconocimiento autorización acreditación universidades centro universitario
"Para  lograr  la  laicidad  de  la  Educación  pública,  es  necesario  derogar  los  acuerdos  de  1979 entre el Estado Español y el Vaticano.",604,1,0,lograr laicidad educación público necesario derogar acuerdo español vaticano
Reversión de las medidas legislativas que limitan derechos de los empleados públicos,701,0,0,reversión medida legislativo limitar derecho empleado público
e  imponen recortes presupuestarios a la enseñanza pública.,506,0,0,imponer recorte presupuestario enseñanza público
Paralización de la Estrategia Universidad 2015,506,0,0,paralización estrategia universidad
y revisión del sistema de titulaciones del  proceso de Bolonia.,506,0,0,revisión sistema titulaciones proceso bolonia
"Apertura de un debate en la comunidad universitaria para acordar una alternativa compartida de Universidad pública al servicio de la sociedad, no subordinada a intereses mercantilistas.",506,0,0,apertura debate comunidad universitario acordar alternativa compartido universidad público servicio sociedad no subordinado interés mercantilista
Aplicación  del  Acuerdo  Social  y  Político  por  una  Ley  de  Educación  compartida  por  la  comunidad educativa.,506,0,0,aplicación acuerdo social político ley educación compartido comunidad educativo
"Elaboración en un proceso abierto, democrático y participativo una nueva Ley de  Educación, una Ley de la Ciencia y una Ley de acceso a la función docente.",506,0,0,elaboración proceso abierto democrático participativo nuevo ley educación ley ciencia ley acceso función docente
Ampliación de la Enseñanza pública y gratuita a la etapa de 0 a 3 años.,506,0,0,ampliación enseñanza público gratuito etapa año
"Elaborar un marco legislativo de Formación Profesional, revisando el modelo dual vigente, que aumente el catálogo de ciclos y adecue la oferta a la demanda de matriculación tanto en ciclos medios y superiores como en la FP básica incidiendo en la formación de calidad.",411,0,1,elaborar marco legislativo formación profesional revisar modelo dual vigente aumente catálogo ciclos adecuar oferta demanda matriculación ciclo medio superior fp básico incidir formación calidad
