Text,Code,libertad_personal_score,libertad_economica_score,text_processed
"y la atención prioritaria al cumplimiento efectivo de los derechos de las mujeres, los pueblos indígenas, los adultos mayores, los niños y otros grupos vulnerables.",503,1,-1,atención prioritario cumplimiento efectivo derechos mujer pueblo indígena adulto mayor niño grupo vulnerable
"Sea en escala nacional, estatal o municipal, los programas gubernamentales aquí enumerados comparten esos propósitos.",305.1,0,0,escala nacional estatal municipal programa gubernamental aquí enumerado compartir propósito
5.- Recuperación de la paz,H,0,0,recuperación paz
"Los planes y proyectos presentados deben incidir en la recuperación de la tranquilidad y la paz, destruidas por las estrategias de seguridad pública y combate a la delincuencia que han sido puestas en práctica por las dos últimas administraciones.",605.1,-1,0,plan proyecto presentado deber incidir recuperación tranquilidad paz destruido estrategia seguridad público combate delincuencia ser poner práctico dos último administración
"De 2014 a septiembre del 2017, el Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública reporta 146 mil 672 homicidios, entre culposos y dolosos.",605.1,-1,0,septiembre secretariado ejecutivo sistema nacional seguridad público reportar mil homicidio culposo doloso
"Esta segunda condición está motivada por el deseo de suprimir el dolor y la destrucción causados por el actual estado de violencia, pero también por la consideración de que ninguna sociedad puede funcionar adecuadamente sin certeza jurídica y sin garantías para la seguridad física de sus integrantes.",605.1,-1,0,segundo condición motivado desear suprimir dolor destrucción causado actual violencia consideración ninguno sociedad poder funcionar adecuadamente certeza jurídico garantía seguridad físico integrante
"Por ambas razones, es imperativo devolver la paz a las calles y los hogares mexicanos y en esa lógica se pidió que las propuestas de todos los ejes temáticos contribuyeran a tal objetivo, aunque en los capítulos correspondientes a Sociedad Segura y Estado de Derecho se detallan estrategias y líneas de acción específicas.",605.1,-1,0,ambos razón imperativo devolver paz call hogar mexicano lógico pedir propuesta eje temático contribuyerar tal objetivo aunque capítulo correspondiente sociedad seguro derecho detallar estrategia línea acción específico
6.- Viabilidad financiera y austeridad,H,0,0,viabilidad financiero austeridad
"Otro mandato para los proyectos es que sean realizables sin incurrir en aumentos de las tasas impositivas o la creación de nuevos impuestos y sin recurrir a incrementos de la deuda pública para cubrir el gasto corriente, como ha sido práctica regular de las tres últimas administraciones federales.",303,0,0,mandato proyecto realizabl incurrir aumento tasa impositiva creación nuevo impuesto recurrir incremento deuda público cubrir gasto corriente ser práctico regular tres último administración federal
"Los componentes del Proyecto de Nación deben descansar en el supuesto de una ejecución austera, responsable y honesta del gasto público, y en la conservación de los balances macroeconómicos.",303,0,0,componente proyecto nación deber descansar supuesto ejecución austero responsable honesta gasto público conservación balanz macroeconómico
"Los desvíos y los dispendios que caracterizan actualmente el ejercicio del gasto público deben cesar, pero deben erradicarse también la frivolidad y la insensibilidad en las altas esferas gubernamentales.",304,0,0,desvío dispendio caracterizar actualmente ejercicio gasto público deber cesar deber erradicar él frivolidad insensibilidad alto esfera gubernamental
