Text,Code,libertad_personal_score,libertad_economica_score,text_processed
"Mientras no sea despenalizada la insumisión, IU propondrá la amnistía para todos los objetores insumisos condenados a prisión y su inmediata puesta en libertad, y la suspensión de todos los procesos puestos en marcha.",105,0,0,mientras no despenalizado insumisión iu proponer amnistir objetor insumiso condenado prisión inmediato puesto libertad suspensión proceso puesto marcha
"Asimismo, expresará su solidaridad con objetores e insumisos que desobedezcan las actuales leyes de OC y SMO, en cuantos debates se abran sobre estos temas, planteando la necesidad de un cambio en esto temas, en la dirección de nuestra propuestas programáticas.",105,0,0,asimismo expresar solidaridad objetor insumiso desobedezcar actual ley oc smo cuanto debate abran tema plantear necesidad cambio tema dirección propuesto programático
MALOS TRATOS Y TORTURAS,,0,0,malo trato tortura
"Tomar todas las medidas necesarias para que la “Convención contra la Tortura y otros tratos o penas crueles, inhumanos o degradantes” sea aplicada en todos sus términos por los estados, recomendando o instruyendo al poder judicial para su aplicación y normalización procesal.",201,0,0,tomar todo medida necesario convención torturar trato pena cruel inhumano degradant aplicado término recomendar instruir poder judicial aplicación normalización procesal
Convenio internacional contra las desapariciones forzadas,201,0,0,convenio internacional desaparición forzado
Apoyar de forma explícita a los organismos internacionales que corresponda la aprobación del “Proyecto de Convención para la protección de todas las personas contra las desapariciones forzadas” con las modificaciones propuestas por las organizaciones no gubernamentales de derechos humanos [E/CN/Sub.2/1996/WG.1/CRP.2].,201,0,0,apoyar forma explícito organismo internacional correspondar aprobación proyecto convención protección todo persona desaparición forzado modificación propuesto organización no gubernamental derechos humanos ecnsubwgcrp
Proyecto de convenio contra la impunidad,,0,0,proyecto convenio impunidad
"Apoyar de forma explícita en los organismos internacionales que corresponda la aprobación del “Proyecto de convenio contra la impunidad” [Ecosoc - E/CN.4/Sub.2/1996] a partir del informe de la ONU, pero proponer que:",201,0,0,apoyar forma explícito organismo internacional correspondar aprobación proyecto convenio impunidad ecosoc ecnsub partir informe onu proponer
"Partiendo de que la impunidad se da en los casos en que la justicia no cumple su papel social e histórico, y que ello tendría que derivar en la aplicación del convenio con todas sus consecuencias, se debería definir los siguientes tipos de impunidad, clasificándolos según sus causas y que sería, como sigue:",201,0,0,partir impunidad dar caso justicia no cumplir papel social histórico él derivar aplicación convenio todo consecuencia deber definir siguiente tipo impunidad clasificando él según causa seguir
- La derivada de una guerra civil con contendientes reconocidos en ambos lados.,201,0,0,derivado guerra civil contendient reconocido ambos lado
"- La derivada de una forma de colonialismo y/o excepción violatoria de los derechos humanos /apartheid, doctrinas raciales, etc.).",201,0,0,derivado forma colonialismo excepción violatoria derechos humanos apartheid doctrina racial etc
- La derivada de una guerra entre países con estatuto reconocido.,201,0,0,derivado guerra países estatuto reconocido
- La derivada de países donde hubo una presión masiva pero nunca existió un conflicto bélico en los términos que hicieran posible la aplicación de los convenios de Ginebra.,201,0,0,derivado país presión masivo nunca existir conflicto bélico término hacer posible aplicación convenio ginebra
"- La derivada del incumplimiento de las normas jurídicas de un estado de derecho o del incumplimiento de acuerdos, convenciones, dictámenes, recomendaciones o sentencias de organismos internacionales y que sería un tipo de impunidad de hecho.",201,0,0,derivado incumplimiento norma jurídico derecho incumplimiento acuerdo convención dictámén recomendación sentencia organismo internacional tipo impunidad hecho
"- Establecer que todos los delitos citados en el punto 2º), de este documento son, por naturaleza, imprescriptibles.",201,0,0,establecer delito citado punto documento naturaleza imprescriptibl
Unión Europea,,0,0,unión europea
"La UE deberá adherirse como parte de todos los convenios de derechos humanos europeos e internacionales, modificando para ello el Tratado, al Convenio de salvaguardia de los derechos humanos y de las libertades fundamentales del Consejo de Europa.",201,0,0,ue deber adherir él parte convenio derechos humanos europeo internacional modificar él tratado convenio salvaguardia derechos humanos libertad fundamental consejo europa
"Esta modificación tendrá en cuenta todos los avances prácticos y teóricos en el campo de los derechos humanos, especialmente lo que hacer a la tortura, la impunidad y la condicionalidad.",201,0,0,modificación contar avance práctico teórico campo derechos humanos especialmente hacer tortura impunidad condicionalidad
OBSERVATORIO ESPAÑOL Y EUROPEO DE DERECHOS HUMANOS,,0,0,observatorio español europeo derechos humanos
- Proponer la creación de un Observatorio Español y Europeo de los derechos humanos que tendrá como finalidad:,201,0,0,proponer creación observatorio español europeo derechos humanos finalidad
- El cumplimiento de los acuerdos internacionales de derechos humanos en los países de la Unión Europea y terceros países.,201,0,0,cumplimiento acuerdo internacional derecho humanos país unión europeo tercero país
- Mantener una base de datos de violaciones denunciadas por organismos de derechos humanos en todos los países.,201,0,0,mantener base dato violación denunciado organismos derechos humano país
- Preparar informes para su aplicación en los criterios de condicionalidad.,201,0,0,preparar informe aplicación criterio condicionalidad
- Llevar un control estadístico y económico de los avances en la aplicación de los dividendos de paz en las distintas zonas geográficas y políticas.,201,0,0,llevar control estadístico económico avance aplicación dividendo paz distinto zona geográfico política
"- Realizar un seguimiento y control de los conflictos civiles y militares en el mundo con el objetivo de permitir, facilitar la prevención y proponer acciones de paz.",201,0,0,realizar seguimiento control conflicto civil militar mundo objetivo permitir facilitar prevención proponer acción paz
"- Realizar un seguimiento y control de las empresas, países y traficantes de armas de cualquier tipo.",105,0,0,realizar seguimiento control empresa país traficant arma cualquiera tipo
"- Mantener al día los documentos necesarios para el seguimiento de las actividades de los distintos organismos internacionales dependientes de la ONU sobre derechos humanos, así como de los regionales de las grandes áreas geográficas (OEA, OUA, etc.).",201,0,0,mantener día documento necesario seguimiento actividad distinto organismo internacional dependiente onu derechos humanos así regional grande área geográfico oea oua etc
"- Mantendrá la información disponible mediante la utilización de un servicio de Internet con las mismas características y condiciones que el actual Servicio Europeo, ampliando el servicio idiomático de los documentos básicos a las lenguas de todos los países que sufran grandes problemas de derechos humanos.",201,0,0,mantener información disponible mediante utilización servicio internet mismo característica condición actual servicio europeo ampliar servicio idiomático documento básico lengua país sufrir grande problema derechos humanos
"- Este observatorio será establecido dentro de las funciones del Parlamento Europeo y tendrá relación con los parlamentos nacionales a través de la Unidad de Derechos del Hombre,",201,0,0,observatorio establecido dentro función parlamento europeo relación parlamento nacional través unidad derechos hombre
"Las ONGs de derechos humanos tendrán un estatuto de participación a través de los grupos políticos con representación en el Parlamento Europeo y representación en la gestión del mismo, manteniendo especial cuidado en que dicha representación no impida la presentación de informes, denuncias u otras cuestiones por parte de ningún organismo de derechos humanos por pequeño que este sea.",201,0,0,ongs derechos humanos estatuto participación través grupo político representación parlamento europeo representación gestión mismo mantener especial cuidado dicho representación no impedir presentación informe denuncia u cuestión parte ninguno organismo derechos humanos pequeño
- Informará expresamente sobre la coordinación de los estados y los organismos de la Unión Europea en la aplicación y coherencia de los convenios de derechos humanos.,201,0,0,informar expresamente coordinación organismos unión europeo aplicación coherencio convenio derechos humanos
JURISDICCIÓN PENAL INTERNACIONAL,,0,0,jurisdicción penal internacional
"Favorecer una jurisdicción penal internacional que incluya la armonización legislativa en los aspectos civiles y penales, relacionados con las violaciones de los derechos humanos.",201,0,0,favorecer jurisdicción penal internacional incluir armonización legislativo aspecto civil penal relacionado violación derechos humanos
"Tales delitos deberían erradicarse de todo estado o conjunto de estados que tienden a la globalización en forma integral económica, social y políticamente.",201,0,0,tal delito deber erradicar él conjunto tender globalización formar integral económico social políticamente
"En tal sentido, se deberá propender a la adopción de un cuerpo legal conjunto que contemplara:",201,0,0,tal deber propender adopción cuerpo legal conjunto contemplar
"- Tipificación de los delitos derivados de violaciones de los derechos humanos en, como",201,0,0,tipificación delito derivado violación derechos humanos
mínimo :,,0,0,mínimo
- Delitos graves contra los derechos humanos.,201,0,0,delito grave derechos humanos
- Delitos de lesa humanidad.,201,0,0,delito lés humanidad
- Delitos de genocidio.,201,0,0,delito genocidio
- Delitos contra la convención de Ginebra.,201,0,0,delito convención ginebra
- Delitos derivados de la impunidad.,201,0,0,delito derivado impunidad
"Penalización homologada precisa en las legislaciones positivas de todos los estados, en sus aspectos penal y reparación civil.",201,0,0,penalización homologado preciso legislación positivo aspecto penal reparación civil
"Obligatoriedad de todos los estados a acudir en forma subsidiaria a la substanciación de las causas que tales delitos susciten, con una clara regulación de la prelación que corresponda en el caso de abandono de la protección debida por un estado.",201,0,0,obligatoriedad acudir forma subsidiario substanciación causa tal delito suscitar claro regulación prelación correspondo caso abandono protección debido
"Adopción conjunta de mecanismos procesales que aseguren la acción efectiva expedita, incluidas las eventuales apelaciones, en las causas.",201,0,0,adopción conjunto mecanismo procesal asegurir acción efectivo expedita incluido eventual apelación causa
TRIBUNAL PENAL INTERNACIONAL,,0,0,tribunal penal internacional
"Izquierda Unida apuesta por el inmediato funcionamiento del Tribunal Penal Internacional creado en Roma (1998), vista la necesidad de la aplicación de una Justicia internacional que castigue delitos que afectan los derechos humanos;",107,0,0,izquierda unido apuesta inmediato funcionamiento tribunal penal internacional creado roma visto necesidad aplicación justicia internacional castigar delito afectar derechos humanos
"de esta forma, impedir que dichos delitos queden impunes, conforme ha sido la reciente experiencia.",107,0,0,formar impedir dicho delito quedar impún conforme ser reciente experiencia
