Text,Code,libertad_personal_score,libertad_economica_score,text_processed
"y mejoramiento de las condiciones inhumanas en los recintos carcelarios,",504,-1,-1,mejoramiento condición inhumano recinto carcelario
"para que las cárceles dejen de ser ""escuelas del delito"".",504,-1,-1,cárcel dejar ser escuela delito
13. FORTALECIMIENTO DE LA AUTONOMÍA Y CONDICIONES DE TRABAJO DEL MINISTERIO PÚBLICO,H,0,0,fortalecimiento autonomía condiciones trabajo ministerio público
"Las presiones políticas que ha recibido la Fiscalía para modificar su actuar, especialmente en delitos vinculados a la política,",202.1,0,0,presión política recibido fiscalir modificar actuar especialmente delito vinculado político
exige fortalecer al máximo la autonomía del Ministerio Público y su coordinación con las policías.,202.1,0,0,exigir fortalecer máximo autonomía ministerio público coordinación policía
"En la misma línea, es imprescindible asignar los recursos para duplicar el número de fiscales,",202.1,0,0,mismo línea imprescindible asignar recurso duplicar número fiscal
resolviendo las condiciones de sobredemanda y agobio laboral que hoy dificultan un adecuado procesamiento de las denuncias de delitos.,701,0,0,resolver condición sobredemanda agobio laboral hoy dificultar adecuado procesamiento denuncia delito
14. GENERAR CONDICIONES APROPIADAS PARA LA ATENCIÓN Y CONTENCIÓN DE LAS VÍCTIMAS DE DELITOS,H,0,0,generar condición apropiado atención contención víctima delito
"Fortalecer las unidades de atención de víctimas que hoy son parte del Ministerio Público para garantizar el fácil acceso de la población en las diferentes comunas de Chile,",705,0,0,fortalecer unidad atención víctima hoy parte ministerio público garantizar fácil acceso población diferente comuna chile
buscando que los denunciantes reciban el trato apropiado y la orientación especialista en las diferentes fases de la investigación y los procesos judiciales.,705,0,0,buscar denunciant recir trato apropiado orientación especialista diferente fase investigación proceso judicial
"Este programa se integrará a Aló Chile, la plataforma remota de atención telefónica y digital de los diferentes servicios que ofrece el Estado.",411,0,1,programa integrar aló chile plataforma remoto atención telefónica digital diferente servicio ofrecer
